Row Labels,<=-2,>-0.25 and <=0,>-0.5 and <=-0.25,>-0.75 and <=-0.5,>-1 and <=-0.75,>-1.25 and <=-1,>-1.5 and <=-1.25,>-1.75 and <=-1.5,>-2 and <=-1.75,>0 and <=0.25,>0.25,Grand Total
08/01/06,13.67866824,10.84614209,7.99678607,5.849992526,5.807096355,5.685448688,7.204793669,7.859086387,9.842039234,19.84701565,42.43250765,137.0495766
09/01/06,15.95081115,7.134546441,6.167173168,5.297955925,5.02269204,5.880024195,7.935000454,8.082880569,10.7205627,10.09656071,22.36663771,104.6548451
10/01/06,26.91004582,8.518741987,6.784034808,6.083802331,6.625354492,5.989236486,7.650526627,12.51393215,13.02746026,11.79803775,21.93673409,127.8379068
11/01/06,31.68054427,7.47860632,5.791122435,6.00116247,6.652272755,7.889545297,11.25528334,10.51301807,14.27078123,9.75495477,18.72655129,130.0138422
12/01/06,28.97875233,8.145524347,6.258993564,6.445125295,7.402272039,10.03680769,9.359734831,18.05225412,22.00640678,11.0960053,20.64444036,148.4263167
01/01/07,26.94536475,8.187160675,6.545656677,5.897572968,6.828844242,8.068369514,10.39757308,11.85279744,18.32089666,11.49473449,20.16528633,134.7042568
02/01/07,21.68154102,6.305786412,6.177007849,5.979667331,6.384709508,7.959340338,8.840685988,10.16894831,16.45676045,8.027208044,15.27044907,113.2521043
03/01/07,23.91317677,8.970311387,6.95644707,6.649218673,7.438255848,9.074521029,10.26366396,13.48904296,20.02948837,11.29390236,19.52489267,137.6029211
04/01/07,33.08951252,7.864444337,6.754487032,7.107682769,8.093090696,10.48519178,13.14157223,13.52734168,19.21767043,10.6417704,17.74101376,147.6637776
05/01/07,30.0314019,7.431865511,7.172536944,7.709177758,9.726763385,10.79341821,11.39686137,17.37839966,24.64144717,9.933831365,17.26771519,153.4834185
06/01/07,35.61221194,7.775846659,6.656105138,6.711612387,8.268462522,9.363230191,10.2022391,14.50608686,22.0042924,9.837497165,16.44142397,147.3790083
07/01/07,26.48502269,9.270375468,7.460096592,6.28726617,5.452101666,7.283620557,9.652981207,11.15725858,17.06619308,12.37965209,26.13378646,138.6283546
08/01/07,20.81106486,9.053925316,6.917568254,5.828804556,5.476001179,7.449565178,7.577457543,10.62497933,12.74706772,11.7606896,25.06830315,123.3154267
09/01/07,14.54856646,6.478323729,5.201167676,4.313619261,4.416006642,6.064740911,8.177494237,9.730687425,10.85724213,8.601396633,16.94561517,95.33486027
10/01/07,19.69798142,6.873073936,5.320500109,4.927130319,5.830587609,7.21414747,10.1562447,11.63466548,13.12806402,8.417744793,15.50558612,108.705726
11/01/07,21.00963751,6.669550799,5.048833984,4.901749235,5.20436434,6.429604547,10.54858311,14.24688367,13.72793409,9.050623133,16.42848338,113.2662478
12/01/07,52.25009959,7.541428551,5.996233168,6.375649058,9.303287574,13.32157268,20.15340069,22.8989184,44.18440041,9.899306008,16.04645309,207.9707492
01/01/08,30.51258054,7.801315489,6.959175722,6.182837402,10.14254549,12.84838158,14.50501807,17.88537121,24.29261559,12.17664215,18.1753166,161.4817998
02/01/08,41.29730141,14.15855396,11.65653231,13.28659162,16.48517127,22.32584642,30.60707749,27.07907464,27.14564495,18.04453081,30.68082221,252.7671471
03/01/08,33.93330591,13.01571161,11.44150261,11.64923776,15.09691256,21.16956401,26.20239548,29.70174905,37.65068934,19.58246949,27.88060336,247.3241412
04/01/08,24.03945804,10.33153764,8.823712405,9.084340006,11.01530362,12.83594214,23.16185207,25.76759564,24.99625864,15.34746378,24.08048842,189.4839524
05/01/08,29.29809038,7.664092803,6.269974882,6.720903506,7.54725775,8.904374953,14.27976096,22.09015256,29.66722702,10.7491205,18.13621042,161.3271657
06/01/08,31.10931352,7.512067944,5.618896323,6.267506401,7.157670163,9.558326256,19.04117734,31.98091687,36.1954938,9.513439047,15.15184607,179.1066537
07/01/08,25.89264431,7.968580889,6.476303654,5.234631918,5.974361296,5.84468876,8.875525961,13.81322102,22.52023315,9.893546614,14.75830414,127.2520417
08/01/08,23.09135587,6.874525194,5.854964752,4.896235375,4.299187924,5.185622001,7.050002776,9.295521186,17.20861646,8.61066271,13.53119039,105.8978846
09/01/08,20.45081226,6.618006866,5.655341164,4.604192167,4.215007948,4.592594288,6.747682222,8.813071908,14.67372879,8.429998606,13.21919202,98.01962824
10/01/08,30.43419501,6.856274201,5.269697901,5.573177291,7.570273804,10.12409957,18.32601425,30.39087801,33.07426372,10.12540874,14.26210009,172.0063826
11/01/08,19.15728491,4.904651946,4.005298433,3.679838943,4.596972642,5.784609563,7.36650825,15.82664589,21.33571332,6.605039326,9.699314234,102.9618775
12/01/08,25.00547421,10.36105884,7.779739153,6.009422026,6.049456696,7.659150133,12.23336128,23.1589436,24.85521598,13.76436914,15.11268347,151.9888745
01/01/09,5.360036949,13.39688336,12.63240562,17.31635635,25.56981976,31.94384701,34.75390566,31.02178612,20.15845093,15.58335883,28.70330462,236.4401552
02/01/09,32.46578767,15.98126994,18.47120611,27.3727521,38.90254965,43.66126255,43.63864233,29.00860017,48.06975512,18.18813676,36.48411168,352.2440741
03/01/09,27.98658091,12.61676017,8.545620627,14.19803951,25.95798208,41.1460965,35.13283022,44.75868596,0.239139908,16.40732568,35.97253176,262.9615933
04/01/09,52.38315874,6.532335805,4.377168011,7.04321177,20.5553253,46.49757129,28.58577851,22.58692506,76.1892497,16.74580098,35.63350031,317.1300255
05/01/09,2.676065976,4.317049128,5.242226255,13.76437176,43.65136649,26.88290177,26.63879633,0.038560522,0.348351604,6.6319651,35.9364588,166.1281137
06/01/09,-0.864596968,3.40343006,4.554942729,8.691404803,41.21250357,38.3028691,17.18979525,7.319375455,0.318352941,5.024685815,35.15645808,160.3092208
07/01/09,29.49930467,15.03783238,6.907412969,3.058753834,3.080135447,3.887031208,45.90373321,38.4102046,28.59429231,22.35581123,30.80508154,227.5395934
08/01/09,22.26658765,5.321612371,2.820433717,2.620614569,3.043130673,26.91535024,26.95982598,10.11660128,0.757470027,9.769858902,21.21445513,131.8059405
09/01/09,15.30928605,5.915779098,2.853181289,2.849816603,2.872519356,27.83087139,24.73475909,23.78472397,13.76530897,9.087215087,18.9327912,147.9362521
10/01/09,0.065998437,4.896695636,4.159743428,3.138364262,4.182801197,23.75202506,9.268832059,41.38933316,0.226984312,12.24414212,21.46909623,124.7940159
11/01/09,0.113151191,4.669472768,3.97107111,3.46074568,26.0852897,19.27418868,7.960044482,28.43226732,-0.291040854,9.821750354,23.41231132,126.9092518
12/01/09,0.186754306,5.368854017,4.645671627,3.646111431,27.22355249,16.39589425,13.46184209,0.798029177,-0.161330685,12.17414813,27.06805096,110.8075778
01/01/10,0.076462403,3.95970306,3.953895687,3.304636911,12.20259159,10.0052291,4.183246579,3.632300258,-0.080835604,8.730354978,21.55932184,71.5269068
02/01/10,-0.08674174,4.415529969,3.584930916,3.149504674,3.083160883,9.909905045,8.173179212,19.48326684,35.8979792,9.925186106,47.43201486,144.967916
03/01/10,41.44751574,4.539195208,4.948347922,4.16044425,17.15873422,9.772033361,15.00774138,13.85417295,1.913121838,7.491283134,24.42640245,144.7189925
04/01/10,0.580765064,4.560475828,5.016248954,4.612065114,15.54203958,13.29889772,12.51746517,11.11244443,15.59348672,6.551322318,22.80137542,112.1865863
05/01/10,0.875922144,4.77187442,4.498260843,4.18126497,5.663816936,17.39527967,15.86492962,13.46380098,4.351030896,7.578202791,21.16973625,99.81411952
06/01/10,25.13445535,6.656432365,7.681539812,6.306841767,25.97090938,26.72555509,15.24066163,14.74338175,25.01765865,11.77562868,24.39066748,189.643732
07/01/10,-0.057539006,9.558248848,8.213819345,23.28371962,21.84994743,12.70971909,1.029572957,4.506075424,0.766942811,9.369922323,26.24156479,117.4719936
08/01/10,4.774202542,14.42874962,14.64731018,24.4284757,25.71862346,16.46587399,2.3075003,1.359484323,0.191940086,15.57007856,31.16158145,151.0538202
09/01/10,,17.54651991,28.65889901,28.16545901,24.34540006,4.818375154,1.25148072,0.819643208,-0.156344791,18.94007593,32.2114377,156.6009459
10/01/10,,18.67986615,26.2121397,34.429938,28.05632305,5.584448053,15.28769172,0.526493049,0.573316173,18.98238663,32.32133742,180.6539399
11/01/10,,24.95794631,24.79208296,48.43995468,33.73986047,9.116133793,1.938647938,0.183449551,0.000565856,19.81964546,34.54232271,197.5306097
12/01/10,0.002202015,17.22106479,14.48717781,18.99193149,28.80596492,17.27273663,7.117691993,2.049006639,0.306443627,17.97564035,32.57671359,156.8065739
01/01/11,28.35609476,9.859344875,7.549146438,7.359701111,5.514593754,11.71300285,7.478293387,4.033726932,9.140563261,12.49519195,27.53775622,131.0374155
02/01/11,6.731670279,7.132588969,5.042018144,5.030208122,4.851011673,5.139114565,6.844763325,7.017440542,3.532192561,8.48548376,25.04690471,84.85339665
03/01/11,6.795105479,5.933993986,5.278942057,4.057291236,5.76485626,5.526854343,13.5994591,18.62918196,15.75418821,8.086741687,21.6191363,111.0457506
04/01/11,16.62639579,5.904581268,4.994372767,4.735610391,5.945299675,8.807106473,23.33093623,40.73578789,27.62390235,6.188599568,17.96165987,162.8542523
05/01/11,9.512128286,5.938187154,5.253276273,5.242233042,6.474713772,8.712903213,21.47214438,35.37448702,32.97833391,6.537414884,16.93717291,154.4329948
06/01/11,4.167283168,8.643487186,7.793368419,10.22233076,10.29298539,27.30326474,47.34709821,59.53549401,33.06219052,9.023346355,18.38090984,235.7717586
07/01/11,1.473006859,9.221374405,10.3070729,10.63995548,11.87987037,23.80992157,30.99134257,15.24038684,4.935364125,10.4631943,16.8563097,145.8177991
08/01/11,6.279038156,11.03012921,11.82656948,12.48978237,14.59777884,24.83905519,42.30125704,34.55627672,11.72108152,12.38233834,19.31095375,201.3342606
09/01/11,1.017712434,21.27924757,25.52261075,22.19656291,22.45169549,30.23171983,20.87495432,5.237223391,4.394485502,20.807521,26.22488103,200.2386142
10/01/11,1.019523811,27.51041347,23.61386844,21.58821154,26.53406398,20.41236567,9.434112169,6.591677684,0.248593159,24.93846821,30.06663051,191.9579286
11/01/11,1.524022202,21.16142766,18.07926737,16.32862113,18.39214302,16.49580371,9.794715627,5.85991591,0.623035652,21.95722448,30.09000485,160.3061816
12/01/11,1.609019402,15.33025464,13.47828662,11.32560429,19.71732722,13.9478688,6.989813394,7.001530514,0.715366183,15.17261257,27.16903702,132.4567207
01/01/12,0.538190673,16.22196697,15.20586707,12.0961016,20.3611573,13.17523297,12.87134101,8.758884736,0.671940385,16.41281741,25.66626754,141.9797677
02/01/12,1.290351212,17.74114052,17.77163272,12.86013972,23.73555781,16.36786947,15.09782795,9.502573309,3.918815102,18.87195743,29.63093703,166.7888023
03/01/12,2.242711425,16.73292211,16.6875351,13.37012649,26.67518256,22.25244943,16.33502398,13.00302746,0.855126906,16.93184643,31.30303654,176.3889884
04/01/12,1.190784613,11.79492957,13.60209169,10.3124746,23.29666675,24.11431003,14.69739382,13.74518765,10.95652157,12.31684975,28.10606509,164.1332751
05/01/12,26.19003969,12.35387943,15.96025904,14.30764235,18.37589176,23.55509335,18.86681757,12.47299011,11.95797324,12.71509309,28.7392599,195.4949395
06/01/12,10.05024538,18.72653671,19.39909055,18.84133911,24.18034453,26.51271602,17.14921779,15.87048355,16.93866071,15.21770297,29.35335592,212.2396932
07/01/12,2.834235959,22.31674804,21.13540408,19.39828046,25.14582678,22.95522991,17.879249,12.39579382,0.9289378,19.20719321,31.22890016,195.4257992
08/01/12,4.156319019,25.52509934,25.10270444,20.6028083,27.64882025,14.16257747,11.50065488,18.49983194,1.450753127,25.68986783,34.61609536,208.955532
09/01/12,2.880880169,21.57546534,21.02540466,14.80147854,21.45158022,16.68987274,8.046910465,3.239006364,17.25797225,20.00675828,31.52364669,178.4989757
10/01/12,2.366616813,21.45772628,23.75685924,17.03125978,25.00586524,16.24188704,5.702935448,4.215068355,5.022622336,22.32391517,34.88470314,178.0094588
11/01/12,1.896012203,23.54263385,16.73826582,18.2087668,22.49460345,10.66093118,7.814322924,2.075948178,3.018900529,16.91745778,32.74464506,156.1124878
12/01/12,0.235665274,21.05230877,14.20793685,16.58381763,17.20857214,9.206162721,5.018108899,36.63989558,1.916206544,16.23363579,32.76661546,171.0689257
01/01/13,4.770108638,19.44602684,14.40441139,16.85995808,13.51721394,7.048744761,2.867149596,2.474299526,1.668347431,15.54859603,31.88564164,130.4904979
02/01/13,5.933767233,14.92296774,12.19720874,10.97987557,13.99268047,10.04528609,9.524788724,1.411062198,1.815794367,9.945961057,29.82152306,120.5909152
03/01/13,5.670056481,9.88015361,11.88654094,9.855822521,12.34012953,12.94419509,5.101115042,11.57053091,1.838278644,10.53233252,30.88126109,122.5004164
04/01/13,15.33147791,8.979964625,12.02146625,11.16333972,14.46760384,18.56263937,11.29352196,14.23643146,21.39134923,10.22104274,30.28784279,167.9566799
05/01/13,4.74929226,12.95151309,14.59181987,16.1354162,20.17142643,14.93092569,17.66502631,11.01408767,1.270811977,9.528422193,30.05953842,153.0682801
06/01/13,1.912340979,10.04805986,13.35645199,11.28573209,12.57724071,13.70022758,9.827580929,7.149654272,1.169796453,10.53613198,29.29387154,120.8570884
07/01/13,14.16770075,11.26945548,8.37075007,7.798396062,9.894026166,8.537438837,9.647444721,11.27400594,8.884410334,17.03541622,32.3941569,139.2732015
08/01/13,8.811472151,11.850928,8.220170221,6.048468783,6.142439227,7.703398611,7.07547293,7.5020781,8.2094423,15.24375152,27.65322548,114.4608473
09/01/13,9.426667477,9.446470264,6.594326955,5.633978393,4.256434831,5.218903331,5.610648999,5.469536427,5.911003052,11.22970789,21.35326324,90.15094086
10/01/13,7.88659628,8.8540295,6.286362555,5.400469369,4.19284828,5.409123392,5.612623079,5.628876891,6.109755536,10.05444251,19.43058427,84.86571166
11/01/13,10.95295694,5.650786716,4.997332777,4.085701969,4.996528957,5.343835053,5.437837662,5.608589541,6.320487392,7.933877234,15.94070769,77.26864193
12/01/13,7.351567286,7.179377476,5.615458586,4.427213483,4.366909461,5.897240168,5.256814406,5.788024141,6.796551771,8.642368694,17.10683066,78.42835613
