Bank Servicer(Y/N),Orig LTV Description,Credit Score Description,Factor Date,Weighted Average Gross Coupon ,CPR 1M,CDR 1M,CCR 1M (Curtailment)
N,HighLTV,LowFICO,5/1/2018,5.580237094,13.34375059,,0.561051196
Y,HighLTV,LowFICO,5/1/2018,5.219756373,11.32836814,,1.615776306
N,HighLTV,LowFICO,4/1/2018,5.588778449,8.051944206,,0.78537902
Y,HighLTV,LowFICO,4/1/2018,5.239101938,11.74211053,,1.12746176
N,HighLTV,LowFICO,3/1/2018,5.597884113,10.07278603,,0.495882738
Y,HighLTV,LowFICO,3/1/2018,5.244311195,13.99350715,,2.267945528
N,HighLTV,LowFICO,2/1/2018,5.606841207,9.270235376,,0.49968151
Y,HighLTV,LowFICO,2/1/2018,5.268255528,11.3589794,,1.159549894
N,HighLTV,LowFICO,1/1/2018,5.516302107,17.26289814,,0.507797186
Y,HighLTV,LowFICO,1/1/2018,5.263548894,8.450246818,,0.81122731
N,HighLTV,LowFICO,12/1/2017,5.488681087,13.35829903,,0.476901488
Y,HighLTV,LowFICO,12/1/2017,5.318987394,12.80063415,,0.812402054
N,HighLTV,LowFICO,11/1/2017,5.512634994,10.13003622,,0.578983049
Y,HighLTV,LowFICO,11/1/2017,5.360004185,14.156449,,0.57259898
N,HighLTV,LowFICO,10/1/2017,5.534453153,10.88503411,,0.681327496
Y,HighLTV,LowFICO,10/1/2017,5.415260331,17.30417187,,0.721270663
N,HighLTV,LowFICO,9/1/2017,5.570971772,14.10065537,,0.441889164
Y,HighLTV,LowFICO,9/1/2017,5.475855223,20.6495949,,0.535129371
N,HighLTV,LowFICO,8/1/2017,5.780570927,15.28307768,,0.672414474
Y,HighLTV,LowFICO,8/1/2017,4.301492995,16.57106107,,0.990282703
N,HighLTV,LowFICO,7/1/2017,5.806698897,13.87900571,,0.838738702
Y,HighLTV,LowFICO,7/1/2017,4.301600168,6.033621879,,1.35397271
N,HighLTV,LowFICO,6/1/2017,5.820037748,14.44816099,,0.650812329
Y,HighLTV,LowFICO,6/1/2017,4.296449993,24.89696303,,0.593486583
N,HighLTV,LowFICO,5/1/2017,5.834072287,11.8287619,,0.569953897
Y,HighLTV,LowFICO,5/1/2017,4.302013593,17.95411098,,0.888457011
N,HighLTV,LowFICO,4/1/2017,5.840384209,16.08454879,,0.642577243
Y,HighLTV,LowFICO,4/1/2017,4.310599995,10.41009253,,1.551333933
N,HighLTV,LowFICO,3/1/2017,6.075860484,92.10125833,,0.401658572
Y,HighLTV,LowFICO,3/1/2017,4.323612345,11.48291923,,1.016829479
N,HighLTV,LowFICO,2/1/2017,6.091471408,22.94102082,,1.065701927
Y,HighLTV,LowFICO,2/1/2017,4.332075399,8.026150603,,0.481133851
N,HighLTV,LowFICO,1/1/2017,6.125344743,13.97584128,,0.411354505
Y,HighLTV,LowFICO,1/1/2017,4.340624809,8.696272937,,0.456705933
N,HighLTV,LowFICO,12/1/2016,6.154822015,18.57086998,,0.38088472
Y,HighLTV,LowFICO,12/1/2016,4.368125665,11.85148593,,0.513237521
N,HighLTV,LowFICO,11/1/2016,4.881626765,12.90455896,,0.505096848
Y,HighLTV,LowFICO,11/1/2016,3.990710315,15.39529045,,0.719014758
N,HighLTV,LowFICO,10/1/2016,4.91134848,36.79516244,,0.142380254
Y,HighLTV,LowFICO,10/1/2016,4.020994162,8.504557643,,0.39207137
N,HighLTV,LowFICO,9/1/2016,4.910051308,44.53272231,,0.141842261
Y,HighLTV,LowFICO,9/1/2016,4.029875528,19.07536509,,0.97855485
N,HighLTV,LowFICO,8/1/2016,4.959581743,13.31030632,,0.294443947
Y,HighLTV,LowFICO,8/1/2016,4.037440293,20.69921051,,0.939966545
N,HighLTV,LowFICO,7/1/2016,5.041337038,32.22306213,,0.43921106
Y,HighLTV,LowFICO,7/1/2016,4.047846073,10.9639466,,0.926016186
N,HighLTV,LowFICO,6/1/2016,5.079148228,30.99352516,,0.341413035
Y,HighLTV,LowFICO,6/1/2016,4.069622506,15.04466757,,0.393735572
N,HighLTV,LowFICO,5/1/2016,4.697224275,1.873832104,,1.873832104
Y,HighLTV,LowFICO,5/1/2016,4.059030576,21.76047884,,0.448500673
N,HighLTV,LowFICO,4/1/2016,4.687640852,29.33364337,,0.399256999
Y,HighLTV,LowFICO,4/1/2016,4.085793605,15.93155272,,0.696222347
N,HighLTV,LowFICO,3/1/2016,4.702526148,13.64026204,,0.520332836
Y,HighLTV,LowFICO,3/1/2016,4.085815744,17.66801406,,0.461256005
N,HighLTV,LowFICO,2/1/2016,4.70421777,0.278632027,,0.278632027
Y,HighLTV,LowFICO,2/1/2016,4.09379191,15.99064772,,1.281053383
N,HighLTV,LowFICO,1/1/2016,4.767055976,6.394906237,,0.193879443
Y,HighLTV,LowFICO,1/1/2016,4.110606575,10.36295025,,0.53576982
N,HighLTV,LowFICO,12/1/2015,4.827992286,4.072249431,,0.120476944
Y,HighLTV,LowFICO,12/1/2015,4.144628267,19.91102323,,0.446871001
N,HighLTV,LowFICO,11/1/2015,4.830868233,0.130602637,,0.130602637
Y,HighLTV,LowFICO,11/1/2015,4.152134814,16.01763779,,3.228286757
N,HighLTV,LowFICO,10/1/2015,4.833516211,0.720041594,,0.720041594
Y,HighLTV,LowFICO,10/1/2015,4.138679843,14.61298476,,0.678519404
N,HighLTV,LowFICO,9/1/2015,4.936447974,0.182089776,,0.182089776
Y,HighLTV,LowFICO,9/1/2015,4.15800649,6.19469482,,0.821276224
N,HighLTV,LowFICO,8/1/2015,4.990707579,5.525082683,,0.156414805
Y,HighLTV,LowFICO,8/1/2015,4.163351889,8.05054289,,0.402251813
N,HighLTV,LowFICO,7/1/2015,4.999711836,13.9786802,,0.220586672
Y,HighLTV,LowFICO,7/1/2015,4.168877685,1.998020113,,1.998020113
N,HighLTV,LowFICO,6/1/2015,5.05419271,10.07399789,,0.11467841
Y,HighLTV,LowFICO,6/1/2015,4.173225148,27.41133325,,1.259065774
N,HighLTV,LowFICO,5/1/2015,5.033893389,6.234594463,,0.119564423
Y,HighLTV,LowFICO,5/1/2015,4.195835174,6.384112609,,0.713362766
N,HighLTV,LowFICO,4/1/2015,5.102004868,33.42125205,,0.109958935
Y,HighLTV,LowFICO,4/1/2015,4.2068238,0.24968761,,0.24968761
N,HighLTV,LowFICO,3/1/2015,5.166567951,0.163039803,,0.163039803
Y,HighLTV,LowFICO,3/1/2015,4.212717475,14.13987024,,0.330534882
N,HighLTV,LowFICO,2/1/2015,5.192266412,2.558104705,,0.34681705
Y,HighLTV,LowFICO,2/1/2015,4.21350151,0.329913006,,0.329913006
N,HighLTV,LowFICO,1/1/2015,5.251533914,2.556019181,,0.142403648
Y,HighLTV,LowFICO,1/1/2015,4.214008408,2.338874838,,2.338874838
N,LowLTV,LowFICO,12/1/2021,3.659044378,3.438640657,1.887768323,0.102380154
Y,LowLTV,LowFICO,12/1/2021,3.522422011,16.54901165,2.827833698,0.138122015
N,LowLTV,LowFICO,11/1/2021,3.723715252,18.51450247,3.256905314,0.136677602
Y,LowLTV,LowFICO,11/1/2021,3.572655894,12.82223107,5.192507183,0.1329444
N,LowLTV,LowFICO,10/1/2021,3.728313701,11.31458176,3.832997162,0.100222675
Y,LowLTV,LowFICO,10/1/2021,3.577454702,5.756168256,2.583054632,0.004489395
N,LowLTV,LowFICO,9/1/2021,4.160054825,14.70477356,1.5263372,0.286542339
Y,LowLTV,LowFICO,9/1/2021,4.069577549,21.15568113,4.509849757,0.252221562
N,LowLTV,LowFICO,8/1/2021,4.168861581,18.06863245,1.383892903,0.253562256
Y,LowLTV,LowFICO,8/1/2021,4.086053126,12.62737738,1.761846531,0.171237435
N,LowLTV,LowFICO,7/1/2021,4.170625643,18.15349759,6.893864883,0.234233584
Y,LowLTV,LowFICO,7/1/2021,4.089775216,17.45757798,2.392621872,0.247359349
N,LowLTV,LowFICO,6/1/2021,4.181138688,20.26577529,5.244451632,0.590810577
Y,LowLTV,LowFICO,6/1/2021,4.115359015,16.72587215,1.595036865,0.210098384
N,LowLTV,LowFICO,5/1/2021,4.181582385,14.69475959,4.6872158,0.188703905
Y,LowLTV,LowFICO,5/1/2021,4.117864028,14.05012883,0.891009391,0.327667762
N,LowLTV,LowFICO,4/1/2021,4.185151964,19.29467995,2.752914105,0.230421757
Y,LowLTV,LowFICO,4/1/2021,4.122051427,14.56937893,2.056518765,0.306055842
N,LowLTV,LowFICO,3/1/2021,4.199231833,13.59927121,2.072632892,0.245851099
Y,LowLTV,LowFICO,3/1/2021,4.148554646,10.19245693,1.663923621,0.277291978
N,LowLTV,LowFICO,2/1/2021,4.200005204,14.34699639,,0.14400969
Y,LowLTV,LowFICO,2/1/2021,4.150455235,12.23682399,,0.308444582
N,LowLTV,LowFICO,1/1/2021,4.217631748,10.52552017,,0.320115814
Y,LowLTV,LowFICO,1/1/2021,4.175363178,8.786738101,,0.20323034
N,LowLTV,LowFICO,12/1/2020,4.218400054,9.826381682,,0.16447784
Y,LowLTV,LowFICO,12/1/2020,4.177041583,19.97552428,,0.170458045
N,LowLTV,LowFICO,11/1/2020,4.232667423,17.87592835,,0.193103166
Y,LowLTV,LowFICO,11/1/2020,4.198864095,11.83468458,,0.168137373
N,LowLTV,LowFICO,10/1/2020,4.234367483,12.85553655,,0.201702046
Y,LowLTV,LowFICO,10/1/2020,4.200464975,18.61945491,,0.230750517
N,LowLTV,LowFICO,9/1/2020,4.244121566,12.32062004,,0.286867698
Y,LowLTV,LowFICO,9/1/2020,4.214374558,9.131897937,,0.158746125
N,LowLTV,LowFICO,8/1/2020,4.248293239,11.83993598,,0.323564261
Y,LowLTV,LowFICO,8/1/2020,4.22350305,12.54199836,,0.152194714
N,LowLTV,LowFICO,7/1/2020,4.255044427,9.647086482,,0.185881684
Y,LowLTV,LowFICO,7/1/2020,4.238536045,11.59202744,,0.186252185
N,LowLTV,LowFICO,6/1/2020,4.262030327,9.411373504,,0.140067817
Y,LowLTV,LowFICO,6/1/2020,4.25174237,6.013053695,,0.125617294
N,LowLTV,LowFICO,5/1/2020,4.261347791,12.7370935,,0.10516368
Y,LowLTV,LowFICO,5/1/2020,4.251186749,11.80283089,,0.130441223
N,LowLTV,LowFICO,4/1/2020,4.265695947,10.00532503,,0.217056014
Y,LowLTV,LowFICO,4/1/2020,4.259426188,5.71325433,,0.142872578
N,LowLTV,LowFICO,3/1/2020,4.265928647,10.51661879,,0.207559638
Y,LowLTV,LowFICO,3/1/2020,4.259177151,14.98472296,,0.131734182
N,LowLTV,LowFICO,2/1/2020,4.266201788,14.53604617,,0.15701348
Y,LowLTV,LowFICO,2/1/2020,4.25845245,10.70611252,,0.141977434
N,LowLTV,LowFICO,1/1/2020,4.269077986,7.394970498,,0.091673391
Y,LowLTV,LowFICO,1/1/2020,4.265219214,6.399723125,,0.16651072
N,LowLTV,LowFICO,12/1/2019,4.269752913,8.356501592,,0.179077345
Y,LowLTV,LowFICO,12/1/2019,4.266872221,7.628923979,,0.152701448
N,LowLTV,LowFICO,11/1/2019,4.267767598,11.03632358,,0.133035369
Y,LowLTV,LowFICO,11/1/2019,4.265524245,6.74517869,,0.181476003
N,LowLTV,LowFICO,10/1/2019,4.271049049,13.81526167,,0.222108191
Y,LowLTV,LowFICO,10/1/2019,4.268442838,8.684250659,,0.288045988
N,LowLTV,LowFICO,9/1/2019,4.270942426,14.33170761,,0.082830504
Y,LowLTV,LowFICO,9/1/2019,4.26688306,14.13290209,,0.163076784
N,LowLTV,LowFICO,8/1/2019,5.428181521,2.032755372,,0.414187882
Y,LowLTV,LowFICO,8/1/2019,5.309110361,5.348856575,,0.722036702
N,LowLTV,LowFICO,7/1/2019,5.429198863,0.105053715,,0.058190665
Y,LowLTV,LowFICO,7/1/2019,5.310646912,0.073836823,,0.073836823
N,LowLTV,LowFICO,6/1/2019,5.688440396,0.306272093,,0.306272093
Y,LowLTV,LowFICO,6/1/2019,5.592680663,2.114571035,,0.598507787
N,LowLTV,LowFICO,5/1/2019,4.426065564,16.43888551,,0.169859941
Y,LowLTV,LowFICO,5/1/2019,4.154564296,7.833170655,,0.165120222
N,LowLTV,LowFICO,4/1/2019,4.423220285,9.343990049,,0.121229341
Y,LowLTV,LowFICO,4/1/2019,4.156645735,17.84711653,,0.205636271
N,LowLTV,LowFICO,3/1/2019,4.432818284,7.975932013,,0.166697126
Y,LowLTV,LowFICO,3/1/2019,4.159235499,8.19483788,,0.2213636
N,LowLTV,LowFICO,2/1/2019,4.432281296,5.230311713,,0.10594926
Y,LowLTV,LowFICO,2/1/2019,4.159682065,7.297061192,,0.246451467
N,LowLTV,LowFICO,1/1/2019,4.384142773,7.031065124,,0.15956067
Y,LowLTV,LowFICO,1/1/2019,4.130636712,13.18902563,,0.105474498
N,LowLTV,LowFICO,12/1/2018,4.376818702,5.297604035,,0.095833519
Y,LowLTV,LowFICO,12/1/2018,4.12985393,3.007669868,,0.129809464
N,LowLTV,LowFICO,11/1/2018,4.382812958,4.975131719,,0.11190509
Y,LowLTV,LowFICO,11/1/2018,4.132249117,9.548062886,,0.12147195
N,LowLTV,LowFICO,10/1/2018,4.337956592,8.444894122,,0.10075879
Y,LowLTV,LowFICO,10/1/2018,4.107110442,8.318790987,,0.121212178
N,LowLTV,LowFICO,9/1/2018,4.337752901,5.741346594,,0.090680122
Y,LowLTV,LowFICO,9/1/2018,4.108960822,3.781123763,,0.169150356
N,LowLTV,LowFICO,8/1/2018,4.335462976,3.154857588,,0.154486292
Y,LowLTV,LowFICO,8/1/2018,4.110546505,8.640461506,,0.120218814
N,LowLTV,LowFICO,7/1/2018,4.274386163,1.923905174,,0.132829935
Y,LowLTV,LowFICO,7/1/2018,4.078596164,9.387962345,,0.112417844
N,LowLTV,LowFICO,6/1/2018,4.272226512,7.169509932,,0.185825988
Y,LowLTV,LowFICO,6/1/2018,4.077874173,7.237869791,,0.170784462
N,LowLTV,LowFICO,5/1/2018,4.277064369,5.35204072,,-0.009279347
Y,LowLTV,LowFICO,5/1/2018,4.076771904,8.52629296,,0.109370171
N,LowLTV,LowFICO,4/1/2018,4.260859058,17.52313721,,0.514373246
Y,LowLTV,LowFICO,4/1/2018,4.068388634,10.48587758,,0.147170056
N,LowLTV,LowFICO,3/1/2018,4.264237274,1.186692081,,0.126703468
Y,LowLTV,LowFICO,3/1/2018,4.069094512,11.21568417,,0.090392139
N,LowLTV,LowFICO,2/1/2018,4.265298637,7.128433179,,0.222520427
Y,LowLTV,LowFICO,2/1/2018,4.069635503,5.050948869,,0.146830916
N,LowLTV,LowFICO,1/1/2018,4.270010289,5.684541942,,0.129622526
Y,LowLTV,LowFICO,1/1/2018,4.073082662,4.458408779,,0.146173094
N,LowLTV,LowFICO,12/1/2017,4.277077505,9.571378191,,0.133471238
Y,LowLTV,LowFICO,12/1/2017,4.075812111,11.79974685,,0.133499053
N,LowLTV,LowFICO,11/1/2017,4.282365892,7.604183137,,0.175402679
Y,LowLTV,LowFICO,11/1/2017,4.080262358,10.26859999,,0.868192328
N,LowLTV,LowFICO,10/1/2017,4.282233627,4.524377021,,0.166843881
Y,LowLTV,LowFICO,10/1/2017,4.079458034,8.220157958,,0.135092733
N,LowLTV,LowFICO,9/1/2017,4.28637242,10.28783271,,0.134794333
Y,LowLTV,LowFICO,9/1/2017,4.080023151,4.235159665,,0.157342415
N,LowLTV,LowFICO,8/1/2017,4.26794958,12.92011621,,0.128886784
Y,LowLTV,LowFICO,8/1/2017,4.074273444,6.458168743,,0.23044258
N,LowLTV,LowFICO,7/1/2017,4.268173106,2.303803751,,0.076782981
Y,LowLTV,LowFICO,7/1/2017,4.066774379,6.855827053,,0.230459215
N,LowLTV,LowFICO,6/1/2017,4.272416929,3.063628136,,0.188896493
Y,LowLTV,LowFICO,6/1/2017,4.068610564,10.00622444,,0.151647044
N,LowLTV,LowFICO,5/1/2017,4.271415786,4.3936209,,0.090061481
Y,LowLTV,LowFICO,5/1/2017,4.06712022,7.11334852,,0.228689812
N,LowLTV,LowFICO,4/1/2017,4.266264635,6.541464188,,0.136474752
Y,LowLTV,LowFICO,4/1/2017,4.062500322,8.61790946,,0.361790794
N,LowLTV,LowFICO,3/1/2017,4.264688471,7.384872599,,0.350732076
Y,LowLTV,LowFICO,3/1/2017,4.071657371,6.960634392,,0.085898985
N,LowLTV,LowFICO,2/1/2017,4.262200631,4.340138018,,0.19161242
Y,LowLTV,LowFICO,2/1/2017,4.071777214,2.38320167,,0.148881978
N,LowLTV,LowFICO,1/1/2017,4.294022342,3.186366109,,0.143170996
Y,LowLTV,LowFICO,1/1/2017,4.110055812,4.242896189,,0.083696002
N,LowLTV,LowFICO,12/1/2016,4.301035183,27.08480546,,0.121827015
Y,LowLTV,LowFICO,12/1/2016,4.113944932,3.372426254,,0.133496523
N,LowLTV,LowFICO,11/1/2016,4.07606157,16.62898882,,0.096388424
Y,LowLTV,LowFICO,11/1/2016,3.979857632,10.65436034,,0.117018542
N,LowLTV,LowFICO,10/1/2016,4.081569003,16.05226611,,0.106797408
Y,LowLTV,LowFICO,10/1/2016,4.002594615,5.104462425,,0.068596313
N,LowLTV,LowFICO,9/1/2016,4.080394987,4.155015686,,0.274351549
Y,LowLTV,LowFICO,9/1/2016,4.004013992,14.90691247,,0.119572549
N,LowLTV,LowFICO,8/1/2016,4.085426732,12.40436609,,0.130231977
Y,LowLTV,LowFICO,8/1/2016,4.014849545,12.02101463,,0.111565236
N,LowLTV,LowFICO,7/1/2016,4.093580828,11.72686723,,0.106089832
Y,LowLTV,LowFICO,7/1/2016,4.023602234,10.98528675,,1.202296277
N,LowLTV,LowFICO,6/1/2016,4.109373713,17.24082696,,0.113173544
Y,LowLTV,LowFICO,6/1/2016,4.022226646,7.527224339,,0.096690301
N,LowLTV,LowFICO,5/1/2016,4.115025584,15.20112798,,0.432796473
Y,LowLTV,LowFICO,5/1/2016,4.036696003,12.69436678,,0.089932942
N,LowLTV,LowFICO,4/1/2016,4.113977897,3.590925525,,0.127753557
Y,LowLTV,LowFICO,4/1/2016,4.03799692,10.34141954,,0.163149302
N,LowLTV,LowFICO,3/1/2016,4.113274746,10.83953947,,0.108344836
Y,LowLTV,LowFICO,3/1/2016,4.049152102,4.625863712,,0.16139959
N,LowLTV,LowFICO,2/1/2016,4.1127536,5.805513128,,0.140997146
Y,LowLTV,LowFICO,2/1/2016,4.05046861,3.159292184,,0.070999889
N,LowLTV,LowFICO,1/1/2016,4.122153535,6.685701319,,0.093272858
Y,LowLTV,LowFICO,1/1/2016,4.04993746,7.369651848,,0.103094245
N,LowLTV,LowFICO,12/1/2015,4.122790713,17.69451465,,0.1112676
Y,LowLTV,LowFICO,12/1/2015,4.051061017,3.806334802,,0.131843967
N,LowLTV,LowFICO,11/1/2015,4.121652674,3.123327471,,0.110776659
Y,LowLTV,LowFICO,11/1/2015,4.054962444,4.438622612,,0.09159653
N,LowLTV,LowFICO,10/1/2015,4.119993881,20.57976331,,0.113884116
Y,LowLTV,LowFICO,10/1/2015,4.065573628,17.61662604,,0.119353505
N,LowLTV,LowFICO,9/1/2015,4.122067,20.59839256,,0.094658148
Y,LowLTV,LowFICO,9/1/2015,4.06006067,7.993515309,,0.09459016
N,LowLTV,LowFICO,8/1/2015,4.123384834,1.727277748,,0.111695709
Y,LowLTV,LowFICO,8/1/2015,4.070821526,10.73095487,,0.099029262
N,LowLTV,LowFICO,7/1/2015,4.134410975,20.7024478,,0.137485478
Y,LowLTV,LowFICO,7/1/2015,4.073349257,12.89044138,,0.113556495
N,LowLTV,LowFICO,6/1/2015,4.140356857,3.185928203,,0.086119464
Y,LowLTV,LowFICO,6/1/2015,4.089454582,5.205755856,,0.128446487
N,LowLTV,LowFICO,5/1/2015,4.145405302,0.09331974,,0.09331974
Y,LowLTV,LowFICO,5/1/2015,4.097550816,13.88647767,,0.179148373
N,LowLTV,LowFICO,4/1/2015,4.146586035,4.003025631,,0.079850453
Y,LowLTV,LowFICO,4/1/2015,4.099884132,11.01959652,,0.121067567
N,LowLTV,LowFICO,3/1/2015,4.130225941,7.641404601,,0.11632223
Y,LowLTV,LowFICO,3/1/2015,4.118167613,4.380780039,,0.05593226
N,LowLTV,LowFICO,2/1/2015,4.142691614,9.826807953,,0.229337882
Y,LowLTV,LowFICO,2/1/2015,4.119256723,7.590583768,,0.152097435
N,LowLTV,LowFICO,1/1/2015,4.122599382,15.13814063,,0.066588917
Y,LowLTV,LowFICO,1/1/2015,4.14368228,1.764505477,,0.057051624
N,LowLTV,LowFICO,12/1/2021,3.652769554,21.42573174,1.690922357,0.540938819
Y,LowLTV,LowFICO,12/1/2021,3.933723263,21.15434634,1.547836436,0.830095885
N,LowLTV,LowFICO,11/1/2021,3.682757396,22.7446641,1.286571762,0.507321913
Y,LowLTV,LowFICO,11/1/2021,3.959450581,21.45595667,1.107979341,0.74352207
N,LowLTV,LowFICO,10/1/2021,3.718992734,24.02356223,1.16720935,0.50789063
Y,LowLTV,LowFICO,10/1/2021,3.990446738,22.96853974,1.071751054,0.815915018
N,LowLTV,LowFICO,9/1/2021,3.801255677,24.87989086,1.270914438,0.558871477
Y,LowLTV,LowFICO,9/1/2021,4.045064847,22.94546861,1.135243534,0.736061662
N,LowLTV,LowFICO,8/1/2021,3.835984144,25.65921828,1.527599632,0.533300286
Y,LowLTV,LowFICO,8/1/2021,4.083679464,24.07004832,1.237622047,0.742726473
N,LowLTV,LowFICO,7/1/2021,3.866814996,24.39634278,1.500959305,0.556291544
Y,LowLTV,LowFICO,7/1/2021,4.108709662,23.3712982,1.11512789,0.804987342
N,LowLTV,LowFICO,6/1/2021,3.908244423,26.81104442,1.515991034,0.55225769
Y,LowLTV,LowFICO,6/1/2021,4.132470045,25.33541262,1.194583693,0.763887295
N,LowLTV,LowFICO,5/1/2021,3.949921198,24.93244991,1.457434004,0.553009685
Y,LowLTV,LowFICO,5/1/2021,4.161394051,23.8768875,1.025482469,0.724940958
N,LowLTV,LowFICO,4/1/2021,4.008424577,28.07361054,1.539440672,0.633306444
Y,LowLTV,LowFICO,4/1/2021,4.195540952,27.1747277,1.1644617,0.906656407
N,LowLTV,LowFICO,3/1/2021,4.073209558,31.12350829,1.386449646,0.61035957
Y,LowLTV,LowFICO,3/1/2021,4.226051678,29.40850136,1.396649701,0.850658888
N,LowLTV,LowFICO,2/1/2021,4.121264047,26.01837094,,0.516234659
Y,LowLTV,LowFICO,2/1/2021,4.248725178,24.18023209,,0.706817056
N,LowLTV,LowFICO,1/1/2021,4.173415775,25.46374215,,0.543857215
Y,LowLTV,LowFICO,1/1/2021,4.271763374,22.70976731,,0.759515168
N,LowLTV,LowFICO,12/1/2020,4.231511061,30.94078767,,0.567011719
Y,LowLTV,LowFICO,12/1/2020,4.294119196,26.63101211,,0.770813353
N,LowLTV,LowFICO,11/1/2020,4.283975694,28.21032153,,0.473391945
Y,LowLTV,LowFICO,11/1/2020,4.319988744,25.05673984,,0.675810986
N,LowLTV,LowFICO,10/1/2020,4.331628187,30.3302941,,0.558790082
Y,LowLTV,LowFICO,10/1/2020,4.342603943,26.60816992,,0.734552977
N,LowLTV,LowFICO,9/1/2020,4.369411556,26.92869559,,0.500470577
Y,LowLTV,LowFICO,9/1/2020,4.359741343,24.10685408,,0.661211403
N,LowLTV,LowFICO,8/1/2020,4.40976612,26.5176551,,0.511092068
Y,LowLTV,LowFICO,8/1/2020,4.382438148,23.2521193,,0.701085051
N,LowLTV,LowFICO,7/1/2020,4.443782797,26.7828552,,0.523545747
Y,LowLTV,LowFICO,7/1/2020,4.401093365,23.42272907,,0.735076177
N,LowLTV,LowFICO,6/1/2020,4.475269322,26.75849439,,0.470981883
Y,LowLTV,LowFICO,6/1/2020,4.41629192,23.42970431,,0.624973838
N,LowLTV,LowFICO,5/1/2020,4.498893927,25.04997058,,0.425417421
Y,LowLTV,LowFICO,5/1/2020,4.430253568,21.39750017,,0.557371875
N,LowLTV,LowFICO,4/1/2020,4.521127373,24.56528892,,0.368319542
Y,LowLTV,LowFICO,4/1/2020,4.440595783,20.00596976,,0.457283227
N,LowLTV,LowFICO,3/1/2020,4.531952767,22.50991069,,0.397164783
Y,LowLTV,LowFICO,3/1/2020,4.447035711,18.15806287,,0.537829635
N,LowLTV,LowFICO,2/1/2020,4.540685375,18.84643358,,0.400915463
Y,LowLTV,LowFICO,2/1/2020,4.452148048,14.72537799,,0.574132376
N,LowLTV,LowFICO,1/1/2020,4.550801528,18.50906219,,0.457410332
Y,LowLTV,LowFICO,1/1/2020,4.456629693,14.35878903,,0.620111799
N,LowLTV,LowFICO,12/1/2019,4.558917541,20.76212072,,0.425365064
Y,LowLTV,LowFICO,12/1/2019,4.460367103,16.13322566,,0.578598457
N,LowLTV,LowFICO,11/1/2019,4.570047722,20.74906936,,0.431081184
Y,LowLTV,LowFICO,11/1/2019,4.466135666,15.53468119,,0.571826996
N,LowLTV,LowFICO,10/1/2019,4.579983054,23.28422666,,0.414023452
Y,LowLTV,LowFICO,10/1/2019,4.469569595,18.0093983,,0.561837733
N,LowLTV,LowFICO,9/1/2019,4.585962553,20.3036493,,0.403688917
Y,LowLTV,LowFICO,9/1/2019,4.470882538,15.96037048,,0.543462056
N,LowLTV,LowFICO,8/1/2019,4.58535043,20.16337965,,0.486203178
Y,LowLTV,LowFICO,8/1/2019,4.46374314,16.05930449,,0.603393026
N,LowLTV,LowFICO,7/1/2019,4.584110056,19.03933203,,0.447430659
Y,LowLTV,LowFICO,7/1/2019,4.461478332,14.78393382,,0.583632109
N,LowLTV,LowFICO,6/1/2019,4.580039472,15.83707236,,0.413127067
Y,LowLTV,LowFICO,6/1/2019,4.458106777,12.60509356,,0.525301421
N,LowLTV,LowFICO,5/1/2019,4.58472924,16.68195868,,0.551398344
Y,LowLTV,LowFICO,5/1/2019,4.461410016,13.42519239,,0.747754448
N,LowLTV,LowFICO,4/1/2019,4.579410106,15.08553133,,0.430819353
Y,LowLTV,LowFICO,4/1/2019,4.454049463,11.51112009,,0.581980132
N,LowLTV,LowFICO,3/1/2019,4.572040532,12.99383571,,0.427780198
Y,LowLTV,LowFICO,3/1/2019,4.448738932,9.813954679,,0.567335105
N,LowLTV,LowFICO,2/1/2019,4.561763645,10.705677,,0.399535455
Y,LowLTV,LowFICO,2/1/2019,4.439556729,8.000419385,,0.513180115
N,LowLTV,LowFICO,1/1/2019,4.546964087,10.05872323,,0.399613015
Y,LowLTV,LowFICO,1/1/2019,4.428824424,7.731810559,,0.525830565
N,LowLTV,LowFICO,12/1/2018,4.524728687,10.31571083,,0.411952863
Y,LowLTV,LowFICO,12/1/2018,4.4181199,8.28674497,,0.529810392
N,LowLTV,LowFICO,11/1/2018,4.510198719,10.97487868,,0.419378591
Y,LowLTV,LowFICO,11/1/2018,4.406494846,8.519899354,,0.542515167
N,LowLTV,LowFICO,10/1/2018,4.492987211,12.38681238,,0.427056531
Y,LowLTV,LowFICO,10/1/2018,4.395386204,9.78135123,,0.538549068
N,LowLTV,LowFICO,9/1/2018,4.4772093,11.66738795,,0.396783358
Y,LowLTV,LowFICO,9/1/2018,4.384360308,8.983525905,,0.508468252
N,LowLTV,LowFICO,8/1/2018,4.454269446,14.1905072,,0.439193383
Y,LowLTV,LowFICO,8/1/2018,4.370853241,11.02343067,,0.585291262
N,LowLTV,LowFICO,7/1/2018,4.436292797,13.42368972,,0.389452778
Y,LowLTV,LowFICO,7/1/2018,4.361330076,11.00818434,,0.512064658
N,LowLTV,LowFICO,6/1/2018,4.426670859,14.02804906,,0.408460526
Y,LowLTV,LowFICO,6/1/2018,4.35216932,11.43051337,,0.558071472
N,LowLTV,LowFICO,5/1/2018,4.414185081,14.06090478,,0.425136801
Y,LowLTV,LowFICO,5/1/2018,4.342923273,11.31706537,,0.536204356
