Refi Incentive(1/10th bp),Refi Incentive(1/10th bp) Description,Credit Score,Credit Score Description,Factor Date,Current Remaining Principal Balance ,Item Count ,Weighted Average Gross Coupon ,Weighted Average Maturity ,Weighted Average Loan Age ,Weighted Average Original Loan Size ,Weighted Average Loan Size ,Original Loan Amount ,CPR 1M ,CCR 1M (Curtailment) 
-2000,<=-2,-999,N.A.,7/1/2022,2673313963,17519,3.974294936,242.3011521,101.9389465,274269.9559,209984.4684,3711670000,,
-2000,<=-2,550,<=550,7/1/2022,46994727.11,703,3.293825039,112.0946814,95.62984892,177528.3808,102409.9505,93473000,,
-2000,<=-2,680,>550 and <=680,7/1/2022,91802229285,434827,3.072157198,289.6376966,16.92797085,301352.1345,287275.3141,99260936000,,
-2000,<=-2,740,>680 and <=740,7/1/2022,4.88876E+11,1933870,3.009505744,306.4043347,17.84160037,346281.8535,330693.2689,5.24217E+11,,
-2000,<=-2,29999,>740,7/1/2022,1.40754E+12,5404895,2.90814847,296.5606395,20.19360089,366104.9361,345753.5336,1.54387E+12,,
-1750,>-2 and <=-1.75,-999,N.A.,7/1/2022,597310329.4,2925,3.722257414,320.7577153,77.12615233,309322.1272,265784.134,712768000,,
-1750,>-2 and <=-1.75,550,<=550,7/1/2022,71310757.46,799,3.700437047,172.9016066,99.43676265,184030.2789,129143.1883,110978000,,
-1750,>-2 and <=-1.75,680,>550 and <=680,7/1/2022,19463005287,101862,3.669620919,302.7356561,28.7333996,296043.7184,277943.8605,21859066000,,
-1750,>-2 and <=-1.75,740,>680 and <=740,7/1/2022,60974752104,301432,3.6793547,295.531438,40.89102045,310554.9124,284355.8525,70006142000,,
-1750,>-2 and <=-1.75,29999,>740,7/1/2022,1.28602E+11,682355,3.683760866,280.2307281,52.78697292,306913.1075,271651.6804,1.5585E+11,,
-1500,>-1.75 and <=-1.5,-999,N.A.,7/1/2022,1692978181,9673,3.978156826,349.2321262,88.38290765,258881.2778,227054.8063,1955032000,,
-1500,>-1.75 and <=-1.5,550,<=550,7/1/2022,113799010.8,1185,3.938409006,195.3857102,102.4832645,184691.8527,136225.2408,166004000,,
-1500,>-1.75 and <=-1.5,680,>550 and <=680,7/1/2022,18861000506,105634,3.932105706,297.2425663,35.82635693,277540.9045,257799.9306,21384695000,,
-1500,>-1.75 and <=-1.5,740,>680 and <=740,7/1/2022,60674461220,314579,3.929968416,294.6772335,45.26191972,295910.5916,269776.1926,69701058000,,
-1500,>-1.75 and <=-1.5,29999,>740,7/1/2022,1.18191E+11,660214,3.927283892,282.4378198,54.23239525,292996.0905,260175.5989,1.42773E+11,,
-1250,>-1.5 and <=-1.25,-999,N.A.,7/1/2022,946109005.6,5461,4.203920785,343.3365509,82.89819078,259180.5228,228299.9564,1092954000,,
-1250,>-1.5 and <=-1.25,550,<=550,7/1/2022,164590299,1433,4.190471738,220.8292704,103.2703219,202207.7358,157745.183,222054000,,
-1250,>-1.5 and <=-1.25,680,>550 and <=680,7/1/2022,13185075726,81834,4.191484099,283.6957848,52.51668924,260902.6348,235649.0859,15372647000,,
-1250,>-1.5 and <=-1.25,740,>680 and <=740,7/1/2022,39235550114,223940,4.188079438,284.480052,57.44258081,279369.6267,249781.1105,46046145000,,
-1250,>-1.5 and <=-1.25,29999,>740,7/1/2022,68216376162,424495,4.1851556,273.4796581,64.31355102,274360.4839,239750.3404,84138872000,,
-1000,>-1.25 and <=-1,-999,N.A.,7/1/2022,596851481.3,3660,4.442400453,347.5379214,85.79939618,246816.5025,218420.9309,687993000,,
-1000,>-1.25 and <=-1,550,<=550,7/1/2022,167856710.7,1434,4.437775288,230.9107788,101.6142776,194895.0702,155078.9917,218746000,,
-1000,>-1.25 and <=-1,680,>550 and <=680,7/1/2022,13347186691,83566,4.437751438,286.7002731,52.07795732,257130.4146,233636.8361,15416802000,,
-1000,>-1.25 and <=-1,740,>680 and <=740,7/1/2022,33733531407,197137,4.434185998,287.324169,55.89019409,276473.9747,249372.1453,39380444000,,
-1000,>-1.25 and <=-1,29999,>740,7/1/2022,51407524256,332630,4.43279493,276.070856,62.63185719,273448.3962,241529.204,63504958000,,
-750,>-1 and <=-0.75,-999,N.A.,7/1/2022,997146039.9,6319,4.647305407,359.146315,87.49684124,235567.5819,211200.2598,1126337000,,
-750,>-1 and <=-0.75,550,<=550,7/1/2022,160792464.6,1365,4.687413417,235.6221126,100.9301677,194962.2355,157282.3227,206550000,,
-750,>-1 and <=-0.75,680,>550 and <=680,7/1/2022,10892975097,70401,4.686942729,284.9663679,58.80621515,249403.8636,225216.815,12623049000,,
-750,>-1 and <=-0.75,740,>680 and <=740,7/1/2022,23700901331,146522,4.686693493,283.9105636,61.53036708,267413.758,239862.8401,27885453000,,
-750,>-1 and <=-0.75,29999,>740,7/1/2022,35024915883,238307,4.687956406,274.5852418,67.0376931,266485.6022,235399.7347,43400550000,,
-500,>-0.75 and <=-0.5,-999,N.A.,7/1/2022,472825238.2,3400,4.954310066,343.3075302,97.60048923,214247.8017,190196.9936,545533000,,
-500,>-0.75 and <=-0.5,550,<=550,7/1/2022,116571052,1016,4.919013293,236.666203,105.3999268,190566.054,153010.288,150926000,,
-500,>-0.75 and <=-0.5,680,>550 and <=680,7/1/2022,8972909393,57656,4.921788988,290.8526173,55.3273257,252548.9874,230698.244,10271195000,,
-500,>-0.75 and <=-0.5,740,>680 and <=740,7/1/2022,18932403956,116487,4.918268544,289.0632076,58.64372552,273023.1535,248009.5588,22040709000,,
-500,>-0.75 and <=-0.5,29999,>740,7/1/2022,27043287228,181043,4.916884669,279.7275285,65.18611894,277890.2634,249441.9714,33056369000,,
-250,>-0.5 and <=-0.25,-999,N.A.,7/1/2022,174500614.7,1378,5.187922487,332.1560376,98.54055404,202418.9955,177451.5229,207393000,,
-250,>-0.5 and <=-0.25,550,<=550,7/1/2022,69523157.9,588,5.189404397,232.9845646,115.3327605,192625.1621,153925.7314,88811000,,
-250,>-0.5 and <=-0.25,680,>550 and <=680,7/1/2022,4562880804,31444,5.192068891,285.1299016,64.19070564,238744.5638,215559.204,5281795000,,
-250,>-0.5 and <=-0.25,740,>680 and <=740,7/1/2022,8666570049,56738,5.192826797,286.5637314,63.35028754,263543.9041,239069.2707,10125730000,,
-250,>-0.5 and <=-0.25,29999,>740,7/1/2022,11650920605,78689,5.192920696,286.3100712,61.79629154,283121.3272,258903.6406,13939844000,,
0,>-0.25 and <=0,-999,N.A.,7/1/2022,170347090.3,1455,5.437813768,324.4539059,102.0195109,194562.559,170223.9541,204411000,,
0,>-0.25 and <=0,550,<=550,7/1/2022,55269244.58,489,5.423708324,215.9130788,132.838643,203516.1247,156788.6626,74443000,,
0,>-0.25 and <=0,680,>550 and <=680,7/1/2022,3675692032,25215,5.431195418,284.8293057,66.10210348,248950.0964,225320.0978,4301058000,,
0,>-0.25 and <=0,740,>680 and <=740,7/1/2022,6134061142,39534,5.426240342,288.7681233,62.48684275,278695.8927,254872.938,7213860000,,
0,>-0.25 and <=0,29999,>740,7/1/2022,7556299252,49785,5.422951499,292.1843533,57.94650437,295033.9013,272854.678,8980586000,,
250,>0 and <=0.25,-999,N.A.,7/1/2022,119871288.1,1126,5.687670748,319.6097306,105.8641369,175086.9859,151897.4609,144929000,,
250,>0 and <=0.25,550,<=550,7/1/2022,21455945.67,235,5.683484628,204.4932576,143.5419604,175929.8496,130697.5858,30346000,,
250,>0 and <=0.25,680,>550 and <=680,7/1/2022,2149993617,15609,5.683664497,284.1967242,68.03782348,243812.8298,221143.3145,2563611000,,
250,>0 and <=0.25,740,>680 and <=740,7/1/2022,3216098826,21254,5.683265103,288.8304296,63.90946837,282679.17,259103.785,3838175000,,
250,>0 and <=0.25,29999,>740,7/1/2022,3429236417,24548,5.680433678,288.1110085,63.10714774,286303.3378,263279.3695,4176352000,,
29999,>0.25,-999,N.A.,7/1/2022,327438655,5050,6.327828477,266.0734832,140.4175326,158951.0238,128588.2086,507564000,,
29999,>0.25,550,<=550,7/1/2022,74950306.63,1537,7.178538546,144.4539225,201.3066225,122962.5563,80264.25109,134214000,,
29999,>0.25,680,>550 and <=680,7/1/2022,5460815548,62396,6.374442712,206.0253199,143.797936,194168.7091,153878.2941,7831688000,,
29999,>0.25,740,>680 and <=740,7/1/2022,6019384888,61736,6.27114535,210.7769329,139.1899522,218442.6871,174330.1203,8585316000,,
29999,>0.25,29999,>740,7/1/2022,5504657356,58802,6.230232058,214.0072435,134.5989136,224834.5707,181521.7762,7994962000,,
-2000,<=-2,-999,N.A.,6/1/2022,2225607830,15194,4.085276766,228.4378912,106.0971601,266617.2245,198942.7213,3156151000,14.17785873,0.291096558
-2000,<=-2,550,<=550,6/1/2022,13675882.4,222,3.0020361,94.94747837,96.96995983,189938.2703,101789.6388,30187000,11.17331849,2.166912976
-2000,<=-2,680,>550 and <=680,6/1/2022,51519032918,245175,2.826108667,269.7237864,15.34735998,297756.3236,283417.1721,55549258000,8.592225776,0.542543673
-2000,<=-2,740,>680 and <=740,6/1/2022,3.31659E+11,1273589,2.839329806,300.6808262,15.53768458,350813.5812,335981.6214,3.53013E+11,7.155154353,0.518610626
-2000,<=-2,29999,>740,6/1/2022,1.1123E+12,4065318,2.784727579,295.4007213,16.7094562,373486.6129,355033.27,1.20231E+12,6.618895953,0.819573431
-1750,>-2 and <=-1.75,-999,N.A.,6/1/2022,277741263.8,1432,3.42059904,295.7547051,80.88363843,322728.7754,272212.3505,346653000,10.57825755,1.224564023
-1750,>-2 and <=-1.75,550,<=550,6/1/2022,18124734.52,261,3.323033804,124.0587708,93.62582164,179095.7869,109308.3327,34562000,14.87001961,1.417013301
-1750,>-2 and <=-1.75,680,>550 and <=680,6/1/2022,27243610422,126056,3.318000452,317.5978839,15.55222125,305592.5898,294136.4394,29204011000,9.699054223,0.380648936
-1750,>-2 and <=-1.75,740,>680 and <=740,6/1/2022,1.18975E+11,480706,3.308976387,324.6922351,17.11442323,340248.6244,327009.6139,1.27198E+11,8.563831427,0.455536193
-1750,>-2 and <=-1.75,29999,>740,6/1/2022,2.27003E+11,971329,3.304993203,310.5406738,23.8943325,344461.7895,324018.214,2.54641E+11,9.086286493,1.014614842
-1500,>-1.75 and <=-1.5,-999,N.A.,6/1/2022,476535681.4,2354,3.607421291,325.7104336,74.0608811,307226.3194,264876.4017,568236000,14.70576023,0.804459441
-1500,>-1.75 and <=-1.5,550,<=550,6/1/2022,45436862.14,589,3.582295245,141.3459979,95.2408736,168909.7424,108716.1999,77129000,4.768514164,1.333914336
-1500,>-1.75 and <=-1.5,680,>550 and <=680,6/1/2022,26466337697,127062,3.558676485,314.700729,20.9397139,306781.5684,292682.4738,28905667000,11.05813445,0.390896642
-1500,>-1.75 and <=-1.5,740,>680 and <=740,6/1/2022,76844700007,354234,3.5558012,307.5088526,30.86159368,322907.8379,301907.2339,85939711000,10.39304722,0.621657588
-1500,>-1.75 and <=-1.5,29999,>740,6/1/2022,1.4788E+11,751952,3.557431004,286.5461208,45.62925669,316534.2715,284258.5036,1.76684E+11,10.3249801,1.216245531
-1250,>-1.5 and <=-1.25,-999,N.A.,6/1/2022,712453534.8,3718,3.835601666,325.0456829,79.55359535,287163.5861,248059.0732,843203000,13.66941773,0.682195573
-1250,>-1.5 and <=-1.25,550,<=550,6/1/2022,99957540.54,1045,3.822985681,190.1890397,100.4849291,186037.9949,135876.5944,147793000,4.862466469,0.626444486
-1250,>-1.5 and <=-1.25,680,>550 and <=680,6/1/2022,17000303485,97976,3.823784293,290.999572,35.90262332,275652.7594,254449.3336,19568260000,11.2556451,0.612074155
-1250,>-1.5 and <=-1.25,740,>680 and <=740,6/1/2022,59888272376,311891,3.820034254,290.424087,45.6493976,296579.9223,268774.2512,69549205000,11.31846961,0.799401324
-1250,>-1.5 and <=-1.25,29999,>740,6/1/2022,1.28233E+11,710514,3.816630908,278.9113946,54.83971518,295471.4576,260457.0296,1.56482E+11,11.53233701,1.432465572
-1000,>-1.25 and <=-1,-999,N.A.,6/1/2022,1725364165,9876,4.029671944,351.2082742,87.15993118,258368.754,227496.7767,1984749000,15.34522018,0.659071732
-1000,>-1.25 and <=-1,550,<=550,6/1/2022,137744864.2,1304,4.071337344,209.1708943,102.5917602,195382.4219,149078.1183,191932000,14.68966303,0.879547327
-1000,>-1.25 and <=-1,680,>550 and <=680,6/1/2022,15108878913,88050,4.049290515,293.9584748,42.31019071,270503.1324,248997.9163,17244732000,12.95228099,0.552572629
-1000,>-1.25 and <=-1,740,>680 and <=740,6/1/2022,46772191160,252722,4.050243294,292.0510543,50.28238032,286370.2541,259375.7351,53882707000,14.03508779,0.824839027
-1000,>-1.25 and <=-1,29999,>740,6/1/2022,85013805232,497367,4.050049839,280.5497115,58.13994998,280547.4393,247926.1678,1.0255E+11,12.92146191,1.451521115
-750,>-1 and <=-0.75,-999,N.A.,6/1/2022,868940492.4,5143,4.293615383,349.2323488,83.81296515,252413.2854,223521.2444,997513000,13.71648549,0.598914645
-750,>-1 and <=-0.75,550,<=550,6/1/2022,172174953.7,1465,4.311896519,227.690728,100.8248467,199637.3448,157998.1917,227098000,10.066305,0.651586584
-750,>-1 and <=-0.75,680,>550 and <=680,6/1/2022,13484374305,84456,4.310964124,284.5497829,52.73925803,256715.0144,232050.1179,15678355000,13.98518741,0.586356397
-750,>-1 and <=-0.75,740,>680 and <=740,6/1/2022,36888075508,215329,4.308979686,284.9393082,57.38879806,275257.7215,246450.2209,43359081000,14.75362674,0.824518482
-750,>-1 and <=-0.75,29999,>740,6/1/2022,58748403597,383494,4.306650067,271.6672676,65.78395156,268577.5265,233967.906,73439270000,13.63466669,1.576291864
-500,>-0.75 and <=-0.5,-999,N.A.,6/1/2022,1150348305,7201,4.590885764,360.9512538,86.64053259,236095.7143,211716.6939,1297691000,15.89313661,0.53444295
-500,>-0.75 and <=-0.5,550,<=550,6/1/2022,167496134.7,1402,4.561096918,234.7143129,100.9080458,195927.594,157670.2986,215010000,16.35960641,0.352768726
-500,>-0.75 and <=-0.5,680,>550 and <=680,6/1/2022,12008767203,76779,4.555884375,285.8242724,56.51536978,252250.3638,228054.3078,13894621000,15.73780492,0.728312062
-500,>-0.75 and <=-0.5,740,>680 and <=740,6/1/2022,27137756845,165329,4.552420986,284.3997542,60.139232,268080.7705,240211.8123,31835099000,16.31075927,0.881410649
-500,>-0.75 and <=-0.5,29999,>740,6/1/2022,38931066120,266610,4.551969009,272.802935,67.21642445,259604.2263,227332.2288,48314821000,14.8419883,1.719156215
-250,>-0.5 and <=-0.25,-999,N.A.,6/1/2022,355137724.3,2446,4.811658286,345.6370085,85.98144112,228165.9741,203437.5437,410480000,18.27009785,0.599104813
-250,>-0.5 and <=-0.25,550,<=550,6/1/2022,158755042.1,1356,4.81131106,238.6036695,100.6804888,193124.2703,156131.1236,203806000,15.17809891,0.416191919
-250,>-0.5 and <=-0.25,680,>550 and <=680,6/1/2022,10696720891,70190,4.813030061,286.129405,59.20817609,247605.7044,223819.9084,12398963000,17.28413088,0.71591147
-250,>-0.5 and <=-0.25,740,>680 and <=740,6/1/2022,22669690978,145567,4.813080158,280.8478445,65.17220629,260253.677,231715.0429,26921808000,16.79569204,0.889826833
-250,>-0.5 and <=-0.25,29999,>740,6/1/2022,32012764046,233957,4.811296005,265.0073514,76.7155979,252418.5106,217951.2325,40711690000,14.90133222,1.70472453
0,>-0.25 and <=0,-999,N.A.,6/1/2022,392178304.3,2875,5.028062956,341.1901427,100.7770516,210138.8558,185903.9354,454203000,13.2208316,1.078557754
0,>-0.25 and <=0,550,<=550,6/1/2022,75758822.01,657,5.05585255,238.6325337,108.7878325,190558.9178,154271.1743,96398000,16.63060846,0.345801076
0,>-0.25 and <=0,680,>550 and <=680,6/1/2022,5257989852,35475,5.046101217,287.6047988,60.23276482,242565.3197,220166.1113,6044404000,17.94866932,0.631006408
0,>-0.25 and <=0,740,>680 and <=740,6/1/2022,9441860372,63712,5.044876081,281.9510791,66.02220315,251179.28,224908.918,11113197000,19.89110607,0.857788327
0,>-0.25 and <=0,29999,>740,6/1/2022,11631750357,89241,5.04419248,267.5816019,76.32266758,244788.7767,213773.6855,14516048000,15.91761548,1.844153994
250,>0 and <=0.25,-999,N.A.,6/1/2022,174316773.6,1435,5.311596892,330.0993113,99.31212286,196370.982,172143.6754,207688000,14.3643651,0.515382285
250,>0 and <=0.25,550,<=550,6/1/2022,70605695.55,599,5.310767269,225.3862078,123.9553619,200929.0759,157837.5006,92428000,9.003621617,0.50355671
250,>0 and <=0.25,680,>550 and <=680,6/1/2022,4092057185,29158,5.304298884,277.5109335,72.04292606,235379.7764,209357.7365,4832332000,20.67866854,0.742945816
250,>0 and <=0.25,740,>680 and <=740,6/1/2022,6635449157,47913,5.301467043,269.6274903,79.1156172,245747.4493,215300.8935,8055844000,20.32480038,0.910266734
250,>0 and <=0.25,29999,>740,6/1/2022,7360693607,60563,5.300221803,258.3408134,86.84176797,237281.2304,204241.5375,9378049000,16.65882895,1.855405071
29999,>0.25,-999,N.A.,6/1/2022,538640384.5,7002,6.052619842,287.9444894,126.6697389,167427.5843,139780.9626,762876000,12.30695216,0.890716106
29999,>0.25,550,<=550,6/1/2022,120356309.1,2013,6.596881821,168.2768215,177.856843,144102.7368,100878.71,197329000,17.46455577,0.830534855
29999,>0.25,680,>550 and <=680,6/1/2022,8273603561,86600,6.079277346,222.2954911,127.2593211,196774.6547,159353.1147,11365826000,20.53807169,0.922412933
29999,>0.25,740,>680 and <=740,6/1/2022,9475984798,92936,5.980154396,220.9285745,128.099814,213603.6065,171163.4217,13146869000,18.79098526,1.293340787
29999,>0.25,29999,>740,6/1/2022,8854314784,94635,5.93457312,217.5324422,128.8793,208805.4523,165521.2633,12693959000,17.95741027,2.212925879
-2000,<=-2,-999,N.A.,5/1/2022,2078723350,14350,4.150334345,224.9956764,106.1825301,263796.9696,195729.1126,2956867000,15.1604832,0.046953053
-2000,<=-2,550,<=550,5/1/2022,3809336.383,66,2.831462313,80.1421322,105.2119546,167642.6475,79139.08286,8668000,15.17567585,1.468332526
-2000,<=-2,680,>550 and <=680,5/1/2022,29712364926,144862,2.662429679,242.1422829,13.66245309,288731.1858,274537.7294,31882834000,7.404882912,0.569299778
-2000,<=-2,740,>680 and <=740,5/1/2022,1.97307E+11,764211,2.696662074,284.6731437,14.4479697,347141.7001,332160.426,2.09711E+11,6.5428958,0.569542159
-2000,<=-2,29999,>740,5/1/2022,7.69975E+11,2781401,2.667299042,285.0415829,15.36733797,373905.3428,355813.8128,8.27866E+11,5.98494846,0.827730564
-1750,>-2 and <=-1.75,-999,N.A.,5/1/2022,186520446.8,1060,3.333954524,277.6192928,94.21511887,297867.4876,241553.2532,244038000,14.94262098,0.479242466
-1750,>-2 and <=-1.75,550,<=550,5/1/2022,10209015.79,160,3.064974619,101.1175642,92.80824925,196507.8826,110273.2209,21888000,13.08035464,2.923526011
-1750,>-2 and <=-1.75,680,>550 and <=680,5/1/2022,22180205534,101373,3.044124298,308.9884035,15.46127822,309422.0201,296767.0974,23887418000,8.472172012,0.413948116
-1750,>-2 and <=-1.75,740,>680 and <=740,5/1/2022,1.36646E+11,515005,3.043800919,326.2286211,14.81887177,355699.5203,343110.8448,1.44756E+11,7.426518247,0.430066165
-1750,>-2 and <=-1.75,29999,>740,5/1/2022,3.49927E+11,1301360,3.041297744,321.2621311,16.65968115,371822.1864,355590.5785,3.79004E+11,7.099665137,0.779198144
-1500,>-1.75 and <=-1.5,-999,N.A.,5/1/2022,281188999.5,1445,3.420612111,296.7959721,80.1630608,322290.7538,272407.8624,349739000,11.30482754,1.021691034
-1500,>-1.75 and <=-1.5,550,<=550,5/1/2022,18458124.14,263,3.323170623,124.3924593,92.6869365,178373.0905,109483.4363,34747000,9.529128751,3.558541062
-1500,>-1.75 and <=-1.5,680,>550 and <=680,5/1/2022,27354845083,126336,3.317970689,318.8280893,14.70602122,305462.6573,294522.3631,29266066000,8.881888371,0.344456193
-1500,>-1.75 and <=-1.5,740,>680 and <=740,5/1/2022,1.195E+11,482124,3.308968345,325.7520591,16.25735738,340041.5997,327378.4559,1.27515E+11,8.101932159,0.476615763
-1500,>-1.75 and <=-1.5,29999,>740,5/1/2022,2.28006E+11,974663,3.30494255,311.4551114,23.11621138,344057.2117,324187.9817,2.55253E+11,8.749268328,0.978104642
-1250,>-1.5 and <=-1.25,-999,N.A.,5/1/2022,483230103.2,2381,3.607231505,327.0609424,72.96337158,306938.8076,265250.8165,574948000,13.63970856,0.528335337
-1250,>-1.5 and <=-1.25,550,<=550,5/1/2022,46248305.52,596,3.582516024,142.3502015,94.2719179,168254.2158,108952.4919,77824000,11.14463102,1.327716586
-1250,>-1.5 and <=-1.25,680,>550 and <=680,5/1/2022,26564690491,127336,3.558693488,315.7911341,20.18422674,306712.2581,293056.3676,28963204000,10.23534836,0.402790676
-1250,>-1.5 and <=-1.25,740,>680 and <=740,5/1/2022,77049609475,355025,3.55577986,308.3477871,30.23704737,322493.3783,301904.9089,86037505000,10.61131943,0.615043785
-1250,>-1.5 and <=-1.25,29999,>740,5/1/2022,1.48016E+11,753734,3.557384216,287.0307094,45.23662463,315500.2488,283515.0537,1.76653E+11,10.84589426,1.202510533
-1000,>-1.25 and <=-1,-999,N.A.,5/1/2022,720675283,3752,3.83551201,326.118905,78.67423041,287046.6718,248498.6498,850781000,10.78732094,0.828053712
-1000,>-1.25 and <=-1,550,<=550,5/1/2022,101215245.4,1052,3.823042716,190.647044,99.43780712,186103.5466,136354.7636,148854000,8.310170835,0.604719838
-1000,>-1.25 and <=-1,680,>550 and <=680,5/1/2022,16788357930,97122,3.823769738,291.1535266,35.96976843,274593.8761,253324.0503,19338496000,11.49724619,0.543939158
-1000,>-1.25 and <=-1,740,>680 and <=740,5/1/2022,58914889346,309045,3.819734251,289.8619528,46.10773004,294410.6529,266339.0278,68516786000,12.1785449,0.759479164
-1000,>-1.25 and <=-1,29999,>740,5/1/2022,1.25664E+11,704811,3.816252768,277.6078425,55.75039389,291618.4847,256076.985,1.53783E+11,11.96254421,1.483684166
-750,>-1 and <=-0.75,-999,N.A.,5/1/2022,1751242721,10001,4.029676498,352.261881,86.23421713,258560.9162,228088.9154,2011206000,14.85499247,0.907843846
-750,>-1 and <=-0.75,550,<=550,5/1/2022,140503695.2,1318,4.070895903,210.1311154,101.6536766,196285.3025,150329.3794,194673000,17.04539917,0.825170718
-750,>-1 and <=-0.75,680,>550 and <=680,5/1/2022,14884048640,87163,4.049589796,293.7657679,42.71631856,269662.2098,247980.0683,17010339000,14.20648258,0.559527728
-750,>-1 and <=-0.75,740,>680 and <=740,5/1/2022,45788337380,249846,4.05061711,290.980035,51.2425027,283527.9992,256061.3863,52872447000,15.40618732,0.778762657
-750,>-1 and <=-0.75,29999,>740,5/1/2022,82663383278,491743,4.050439499,278.5476579,59.71386853,275474.0867,242031.9552,1.00147E+11,14.17686541,1.429116183
-500,>-0.75 and <=-0.5,-999,N.A.,5/1/2022,881051979.6,5205,4.29349068,350.2428002,83.07021063,252258.4709,223702.5912,1009418000,14.05794285,0.523993214
-500,>-0.75 and <=-0.5,550,<=550,5/1/2022,174555436.7,1483,4.311764868,228.7967374,99.87341218,199090.2032,158036.0912,229378000,11.58546069,0.490540002
-500,>-0.75 and <=-0.5,680,>550 and <=680,5/1/2022,13117980472,83045,4.310838367,282.6880933,54.21282986,254648.1729,229336.5999,15309287000,14.95822091,0.601816079
-500,>-0.75 and <=-0.5,740,>680 and <=740,5/1/2022,35629643315,211563,4.308698841,282.282387,59.53315167,270977.7127,241123.8612,42098042000,17.1950594,0.90162528
-500,>-0.75 and <=-0.5,29999,>740,5/1/2022,56141179989,376932,4.306213077,267.3751318,68.97098659,260649.4219,224403.573,70846520000,15.17133127,1.424038664
-250,>-0.5 and <=-0.25,-999,N.A.,5/1/2022,1170082137,7316,4.590789384,362.1150609,85.66686112,235907.4807,211912.5527,1317392000,17.23937768,0.412001068
-250,>-0.5 and <=-0.25,550,<=550,5/1/2022,171295248.4,1425,4.560796679,235.9301504,99.86997679,196121.7452,158362.5692,218920000,20.71573895,0.308956621
-250,>-0.5 and <=-0.25,680,>550 and <=680,5/1/2022,11677367933,75653,4.556101199,283.9940248,58.2832402,249308.7613,224389.5485,13564072000,18.45646735,0.6493072
-250,>-0.5 and <=-0.25,740,>680 and <=740,5/1/2022,25951405100,162019,4.552748943,280.8912711,63.12236958,261592.8601,232377.4509,30654804000,19.30324249,0.781844748
-250,>-0.5 and <=-0.25,29999,>740,5/1/2022,36551241446,260865,4.551980235,266.993593,71.81600869,247038.4498,212615.1879,45948537000,16.6528924,1.384472849
0,>-0.25 and <=0,-999,N.A.,5/1/2022,360902833.7,2485,4.811346257,346.7976218,84.88066705,227578.6688,203161.0451,416424000,18.59335275,0.346440517
0,>-0.25 and <=0,550,<=550,5/1/2022,162461453.7,1380,4.81110804,240.0776532,99.43011578,193389.7532,156974.2347,207541000,21.42101274,0.454387421
0,>-0.25 and <=0,680,>550 and <=680,5/1/2022,10166378480,68390,4.812725775,282.1528277,62.59200825,241650.21,216549.1422,11869595000,19.91352108,0.701816626
0,>-0.25 and <=0,740,>680 and <=740,5/1/2022,21229169290,141565,4.812424078,275.0783793,69.97112364,249838.1044,219241.9117,25493166000,20.22477426,0.791932821
0,>-0.25 and <=0,29999,>740,5/1/2022,29401922375,227666,4.810413074,255.9270054,84.03540166,234435.5679,196741.4114,38134015000,18.21372152,1.518835813
250,>0 and <=0.25,-999,N.A.,5/1/2022,400391782.8,2923,5.028135483,341.9647657,99.97191859,210651.4516,186647.6913,462738000,21.11777034,0.61128024
250,>0 and <=0.25,550,<=550,5/1/2022,77149116.76,668,5.056166073,239.6494657,107.8325556,190712.2113,154807.3556,97872000,16.87166725,1.194796919
250,>0 and <=0.25,680,>550 and <=680,5/1/2022,4899869155,34291,5.047997892,282.056759,65.08201317,233026.7644,208852.3129,5688331000,21.97095914,0.514988136
250,>0 and <=0.25,740,>680 and <=740,5/1/2022,8615578387,61409,5.047072315,273.9743118,72.83332486,235276.3791,206320.3893,10291389000,21.95017962,0.952247032
250,>0 and <=0.25,29999,>740,5/1/2022,10275012051,85662,5.046452982,254.8468494,86.88406671,218109.6172,182875.5431,13166872000,18.82815136,1.561347467
29999,>0.25,-999,N.A.,5/1/2022,727880813.4,8585,5.872421372,299.0067518,119.3447932,174558.6274,147905.9652,988688000,19.84672943,1.052495262
29999,>0.25,550,<=550,5/1/2022,194200700,2650,6.122659286,190.1655785,157.1380596,165150.0263,122318.5505,293872000,13.89703264,0.749248712
29999,>0.25,680,>550 and <=680,5/1/2022,12002207099,115667,5.832110728,235.2332708,113.8618842,201782.0658,166673.9116,15874616000,23.78349816,0.83530224
29999,>0.25,740,>680 and <=740,5/1/2022,15149628955,139322,5.707881661,231.622123,116.4081098,212268.1526,171910.8714,20294942000,23.2433985,1.102202554
29999,>0.25,29999,>740,5/1/2022,14760139661,152510,5.658469682,222.0680643,122.1752843,197443.419,154565.044,20671607000,20.38832426,1.557482038
-2000,<=-2,-999,N.A.,4/1/2022,1795166390,12273,4.214561121,232.3932271,109.0441089,262894.7268,195375.8465,2531754000,14.52685428,0.392512192
-2000,<=-2,680,>550 and <=680,4/1/2022,1348010922,5984,2.026410064,171.1935056,9.051878467,300375.8253,286083.3993,1420014000,6.4295795,1.229875058
-2000,<=-2,740,>680 and <=740,4/1/2022,6979726732,27151,2.027558114,173.8311003,9.206562364,335989.4502,319457.0858,7375057000,5.507105704,1.440827608
-2000,<=-2,29999,>740,4/1/2022,33727574579,122369,2.02722843,171.8992476,9.663008632,360318.9871,340587.0891,35934134000,6.073631339,2.363579576
