,<=6,,,,,,,<=6 Total,>12 and <=24,,,,,,,>12 and <=24 Total,>24 and <=36,,,,,,,>24 and <=36 Total,>36 and <=48,,,,,,,>36 and <=48 Total,>48 and <=60,,,,,,,>48 and <=60 Total,>6 and <=12,,,,,,,>6 and <=12 Total,>60,,,,,,,>60 Total,N.A.,,,N.A. Total
Row Labels,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,>-1 and <=-0.5,>0 and <=0.5,>0.5,
8/1/17,,-4.165599712,-5.293863499,,,-2.554387962,-1.650328904,-2.848500831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/20,,2.560747982,5.770973351,0.335112018,,3.40536697,10.64513117,4.794304419,,8.563481214,6.895542737,-0.244700038,,12.58607338,17.29152653,11.0617873,,7.956930985,5.506307312,4.128738595,,10.0060989,16.35547504,9.26201208,,8.374628889,4.898159431,9.138103547,,12.37765558,15.44560591,10.12387332,,9.186163963,7.267520412,7.234228894,,10.54779737,14.29827561,10.06721811,,12.59454616,6.611819882,0.00000274,,10.77445571,15.46817317,11.9321922,,10.36905498,7.867753491,6.307564729,0.55005104,9.47079957,14.38974523,9.583330423,,,,
2/1/20,,2.119538333,3.039144224,1.631852632,,3.912992989,10.13660926,4.41916611,,9.756761449,5.970104141,1.400044523,,19.36470248,19.15835446,14.36852762,,10.1277407,9.292635139,6.329457996,,17.36070332,14.12327259,12.10383821,,9.064332689,6.988702514,7.62143147,,12.30149144,13.55131089,10.07745557,,8.501232639,7.086968391,4.037941283,,12.17898821,14.19532119,9.853403459,,15.46061056,5.614142691,0.00801489,,14.11065667,20.79654493,14.90175161,,10.40090789,6.017271279,6.011868912,0.379448511,10.22554594,12.77910908,9.062739103,,-1.787938813,,-1.787938813
3/1/20,,3.955424791,4.290044484,2.122187945,,6.601867134,11.35120535,6.075919887,,12.10072444,1.164926496,,,21.83399404,26.61683029,18.95492128,,9.088100581,6.555876529,2.241491444,,16.24052452,19.47377028,12.5004237,,12.19651266,6.386929839,6.173549645,,17.73787958,17.71273515,12.6812449,,11.37067379,9.874645055,12.38839438,,16.60489488,23.10911901,15.25014368,,21.8925107,2.020177737,0.027358929,,23.10819361,23.15957919,18.60989058,,11.09862001,6.926084186,7.435994004,0.472928405,11.70765315,16.53101319,10.78057749,,,,
4/1/20,,6.566700586,3.731448295,0.443112665,,6.296582711,11.80871692,6.440513928,,12.8727809,0.005375414,,,28.87246309,28.74456871,23.20572437,,12.38594277,10.78801328,0.508697539,,19.88371546,25.76417884,17.46926899,,11.86410158,6.765106894,5.977560373,,17.25588389,23.46152477,14.17530255,,11.72329879,7.126716287,1.28222709,,17.93991095,22.09412256,14.4166035,,21.59756711,4.643281673,0.246422177,,22.3121148,32.78432562,21.3597087,,11.45744088,9.009641225,7.230061019,,17.1085907,18.68295602,13.17696555,,,,
5/1/20,,5.179855143,2.263320449,1.740394346,,5.110126899,11.81193613,6.103147977,,4.742656207,0.005169431,,,29.9537685,31.76404888,23.8337839,,14.80084042,7.828281187,0.019860149,,19.08227762,27.76759096,18.34562289,,9.116540949,8.653283864,0.737523594,,17.22343475,21.3268025,13.30377961,,11.18563327,8.52381221,0.097768866,,20.03288398,27.1721892,16.90620847,,15.54401537,1.9295259,0.147839661,,15.96231476,31.05660991,16.92538128,,10.88303159,7.359119266,9.658430583,,15.32382081,19.20785884,12.74664858,,,,
6/1/20,,4.291419136,3.124862686,0.207345048,,9.935689558,10.46399393,6.307675298,,33.46772506,0.093118702,,,44.40343472,33.28822525,34.44954127,,16.25688727,20.36820823,0.80782339,,22.80334715,26.67552038,21.55745648,,13.51982755,12.55008977,1.228811944,,22.36075434,25.14124903,17.34558205,,12.86354108,15.60050291,0.187133571,,18.19257122,26.38630119,17.75953578,,18.86810323,10.42364059,0.119729136,,18.62909907,28.42054645,19.02714285,,12.14805268,8.952871821,11.30468616,,20.56567259,23.11756717,15.5726458,,,,
7/1/20,,4.970571113,3.619993597,-2.593144263,,4.928768653,13.1694539,6.619744557,,29.3771647,0.000074,,,41.63388296,34.0285187,34.84196495,,15.04815993,1.18358807,,,18.99774268,27.43681429,17.95084492,,11.92390181,10.44285574,,,19.17026619,29.28187103,18.58927784,,20.07788009,14.80841655,,,23.24328772,27.57505134,22.43455213,,20.35711785,2.054346383,,,21.57043135,31.63680786,20.36584834,,12.88017247,14.38253867,0.634452431,,18.46392386,24.99413449,17.27744321,,,,
8/1/20,,5.617646114,3.376446164,-0.468510408,,7.506624182,12.61538202,7.20784173,,17.89633516,-0.0000109,,,38.54973597,31.64753325,29.74043791,,23.15692318,1.156916508,,,18.92577749,30.49834132,21.77476356,,14.44982401,10.64007219,,,24.72559078,30.76948385,21.48623341,,12.27769992,6.464663275,,,19.24930438,31.54908252,19.50872968,,21.87915339,3.771561446,,,23.55947753,26.9831796,20.5786726,,11.95475527,8.925961225,0.633897149,,16.5648017,24.99502521,15.54057444,,,,
9/1/20,,4.783746866,4.567794173,-0.699467016,,6.421840793,11.09229391,6.490941791,,8.404390305,0.0000507,,,38.32268514,30.84924688,27.94154259,,14.55459739,1.425790516,,,20.31915509,28.88368548,21.47791232,,12.86160434,7.351379259,,,17.90559765,30.42714873,19.11649742,,18.49191568,9.295441159,,,18.04454406,28.93379516,20.5891973,,19.34846669,1.126619588,,,27.16066502,29.56560147,21.94520838,,15.87938589,11.70169366,,,17.25972437,26.66884534,18.3203315,,,,
10/1/20,,6.836555841,3.731750686,2.1715072,,7.586512364,18.04482771,8.395100637,,27.6532657,0.266663335,,,33.45888251,31.40305507,29.59358327,,19.42039727,0.336875168,,,18.85065094,36.37973656,25.25597443,,15.45756717,10.29662264,,,20.02697581,31.40340628,21.20361985,,13.24142778,8.838093688,,,21.32249742,34.1934465,21.65238324,,21.40468758,5.869571689,,,27.83448286,27.96293647,22.75617841,,14.16857214,9.813768387,,,17.37197498,29.97133516,18.41465604,,,,
11/1/20,,3.689757219,3.787156521,7.21020041,,10.26631209,10.62696159,7.295672231,,19.9787331,0.160163862,,,29.54212048,30.30632248,26.126504,,18.53144681,0.0000366,,,20.35785366,32.30598261,24.97749129,,13.2229881,0.386745885,,,21.47832625,29.32949184,20.08118447,,20.55131037,1.045151198,,,21.11313465,31.03215119,22.19903829,,15.9036444,7.111611286,,,21.33074837,29.33245409,21.21156824,,9.940501889,14.2600226,,,14.60278086,28.68601184,17.22036227,,,,
12/1/20,,4.035396013,8.029466434,0.881168457,,7.546612479,12.30542343,7.014770063,,35.14516644,0.491891104,,,30.53556822,33.97363754,31.20542424,,8.523486104,,,,24.45975643,33.00209173,25.0464419,,12.92268539,0.429477085,,,20.8263984,33.34598486,21.39660249,,20.51376123,9.545223556,,,18.02740389,36.53899458,23.76587977,,13.53173891,3.267753909,,,21.56645829,25.93517471,17.83857958,,10.77062138,9.445455287,,,16.34472285,30.06095657,17.51003574,,,,
1/1/21,,3.418139997,3.482849023,0.776446195,,3.840181456,12.39263545,5.872324704,,11.09009065,,,,26.26293339,29.96323342,24.0173373,,8.444168677,,,,24.66520793,31.30675959,25.25586164,,8.812592453,,,,18.39701527,30.58351798,21.27258658,,16.36358051,,,,14.83772487,29.20038672,20.68324492,,17.09620276,1.093954684,,,17.20481409,28.20172421,20.50949541,,10.47828086,1.01837959,,,17.01505782,25.14195398,17.05978436,,,,
2/1/21,,7.179716643,5.070332784,0.776627381,,4.080310075,9.894011882,6.57691879,,13.49580303,,,,30.36715105,27.79089894,24.99678021,,0.799668452,,,,28.55668928,27.06369964,24.3778116,,15.40782794,,,,20.03027151,30.1880166,23.49201573,,14.22046386,,,,13.21015949,28.78410378,19.38760569,,13.03701262,1.090187345,,,16.69564404,26.2321906,16.92368035,,7.137133882,1.023423682,,,12.97222706,27.4236859,15.47645132,,,,
3/1/21,,6.641313631,7.622422135,0.607753495,,4.301523348,15.15322884,7.10843154,,20.99411071,0.114846145,,,42.65989617,33.41547087,30.80640521,,0.494222281,,,,27.37288742,38.76344443,30.28781082,,20.6399219,0.454174299,,,34.56042924,36.0937468,31.15395782,,17.49755157,25.13950687,,,22.90321739,36.49061158,26.28496467,,17.67692707,17.8690486,0.853795736,,17.61060386,27.75755111,19.60367661,,12.9355355,5.029096772,,,20.26924838,32.31285716,19.08634346,,,,
4/1/21,,3.940206108,3.350419064,3.173055562,1.453359363,5.187642832,13.88463667,5.795089368,,25.90241725,20.3060287,,,25.30353253,34.68992181,27.47320271,,15.03420694,0.046211968,,,21.94849847,36.25392028,29.00403021,,24.44482782,9.885765746,,,26.19989327,31.33414736,25.95939946,,16.45912092,11.93976711,,,21.04100254,34.00566945,22.02900696,,10.40561145,9.16716531,9.218868499,,14.01809855,23.76899775,13.77868795,,24.61427045,16.95115616,0.552865282,,23.7502189,31.27027474,23.99180327,,,,
5/1/21,,2.958889255,3.375801873,7.182407796,-2.364321774,4.962404079,10.81429863,5.47410967,,18.25778797,12.76530341,,,23.8092744,28.34058113,21.82858803,,21.8096413,0.046732532,,,17.92013891,35.26188798,27.83819018,,15.92923158,1.256075282,,,24.43361792,24.0387872,19.97709885,,16.57597874,15.88793161,,,17.81496964,25.65205834,19.41227,,12.0410484,6.89180592,4.930210992,,19.37798798,24.06170664,14.15220354,,13.02067197,9.67944503,0.558799645,,18.923794,26.99814845,17.2049755,,,,
6/1/21,,2.936328439,3.8935077,7.131286496,,6.354882546,8.69573303,5.63840592,,14.66936058,16.64211449,,,19.3661349,33.59829949,21.98796599,,0.961730412,,,,21.60585838,31.84471328,25.34346336,,24.04633405,0.221519657,,,22.29281935,27.18276223,23.62732622,,17.98915131,15.83843392,,,18.83294987,31.21477295,22.00844259,,8.140471917,7.562520222,2.678352142,,13.46064925,23.62096746,11.73128167,,15.19000295,6.188965213,,,18.81354553,27.56881541,17.78734003,,,,
7/1/21,,3.425983178,3.525915776,3.152030687,,5.196210399,6.524781766,4.402974493,,13.89481127,19.6078468,,,18.62661375,23.97998764,19.11695108,,16.69001133,,,,26.25485711,27.24693145,25.88327559,,24.47699874,0.22670023,,,19.84315235,27.73300484,23.20971021,,14.45404641,17.93304249,,,15.75773695,25.54029898,18.89840887,,9.347961325,8.747689171,11.278708,,20.47986148,21.02380471,14.43240702,,13.11721929,7.691704241,,,16.58757041,26.1198544,16.53517775,,,,
8/1/21,,8.274222844,4.601024951,5.364845298,,4.589562655,9.679831731,6.497224028,,16.8836238,21.24871127,0.00426997,,25.09470695,30.89642034,23.50369133,,10.07568833,-0.0000122,,,31.15530771,30.95414332,28.54143803,,16.11149623,0.230515972,,,19.11282763,27.81282177,20.99853887,,16.09516184,4.005795983,,,21.87381271,30.27865803,20.61284092,,15.47532867,11.77035643,2.592799754,,17.38466539,27.39895035,15.86716907,,12.84041089,12.90361984,,,16.91216928,27.19696201,17.85258962,,,,
9/1/21,,6.717717095,5.496636623,6.130139683,,4.555159795,6.340479194,5.83249828,,14.87997536,11.94142568,0.320536113,,23.69528889,31.11232205,20.38151663,,1.493648486,,,,24.1203453,28.84521946,22.89206487,,21.6573729,0.463618074,,,23.6120401,26.87057419,24.01411219,,20.93893045,9.32998616,,,18.21472159,28.47689328,21.56555205,,9.838657287,11.26954752,5.598507278,,14.60448055,20.06860727,12.70962774,,10.43506573,5.703110888,,,16.16971854,24.66309103,15.22964719,,,,
10/1/21,,4.279758769,5.195664207,5.820855679,,7.598687638,10.55614632,6.842568379,,18.11914222,11.48225761,1.825804819,,22.71629566,26.3670143,17.57657571,,19.06142452,0.020862222,,,23.672184,26.86012145,23.1358571,,25.33633428,0.650910159,,,21.85999324,28.18087981,24.2544295,,18.96018199,8.725906676,,,21.79570346,27.93845518,21.31029525,,10.96263573,8.654237683,8.32718436,,13.40573136,26.80623036,13.49959709,,19.07775968,24.8152078,,,18.50534031,25.21943413,21.70070643,,,,
11/1/21,,5.119126461,5.580754257,3.169348881,0.642968817,6.812322919,11.96419706,6.444084006,,15.19566947,13.51170816,16.39823516,,22.07789661,21.23704669,17.87602209,,22.61016442,8.716769147,,,19.2442893,28.79347025,22.39733635,,16.32125213,13.71569146,,,18.07525289,26.78416678,20.7140785,,19.35851148,10.69572102,,,17.72988635,27.32744527,19.78464384,,7.833496744,6.316201394,7.201482056,0.331619382,11.84508271,22.12692302,10.62213593,,13.72495714,9.11203909,0.576743119,,18.2006704,24.44582831,16.41587645,,,,
12/1/21,,3.651872113,4.367595889,3.052023806,0.745675123,7.671364958,9.317750979,5.545855784,,10.31058083,8.503885547,6.928409222,,15.27594074,22.792185,13.30874437,,17.76162609,12.18121186,,,20.47562989,27.8997397,21.08170021,,14.83424631,14.08829699,,,15.1355981,26.77025808,19.77627644,,12.72735098,10.62131945,,,18.06554816,23.49458833,17.20652704,,8.272804315,6.010981651,5.106779205,0.335746337,19.82045324,19.44128462,11.6226239,,18.86527537,13.22683318,0.705023081,,15.52124683,23.31002022,17.57763043,,,,
1/1/22,,3.802629468,4.820150068,6.400768789,2.24744048,3.433509164,9.049923612,5.278270451,,17.72388077,6.776012793,7.279276744,,15.42715132,23.6766329,14.84102956,,19.39666085,5.913043305,,,19.73887692,28.25724938,19.98600224,,13.7857495,16.33681098,,,12.05966088,27.4941129,19.46386137,,13.93320701,8.832456227,,,13.15279244,25.09964492,16.57880282,,8.183912222,5.467931576,8.199892205,0.336463499,9.825290022,22.46517102,10.30453329,,11.65323469,10.0740482,0.712723444,,18.09489391,19.61881911,14.81778856,,,,
2/1/22,,2.491440197,4.274225818,7.206994243,7.722082416,3.498466197,9.75595503,5.442943317,,8.285794859,5.972044936,10.2389439,7.277583086,11.92850524,16.56154632,10.19626959,,19.16587727,9.021333947,1.628948247,,15.34096554,21.53198575,16.22282382,,16.58362566,8.343778269,,,15.82107913,27.12530538,19.58920603,,9.565879318,5.151081035,0.488407254,,17.90452712,23.47009449,14.75711554,,5.431129018,6.045305914,5.402267405,9.100748172,11.7942017,16.83307712,8.801475676,,10.3264304,10.29766543,5.894218127,,13.77619346,19.64556545,12.57353216,,,,
3/1/22,17.48448355,7.552888961,12.1471439,3.388815201,2.650676748,9.285387693,12.03072333,8.328283997,0.380262731,11.7279697,7.749975994,9.072066321,6.762121667,18.7459023,22.54748175,12.62661975,,15.86009497,15.89695625,8.246870226,,18.0890606,18.97245492,16.01726467,,15.4032621,8.590300688,-2.082726182,,18.15456564,30.89335433,19.54599445,,17.7860717,15.26171385,11.18898027,,14.21218546,27.74864955,18.20458539,0.076912122,11.68671957,7.663743841,6.770489926,7.136344866,14.81280805,25.76778877,11.54662185,,16.41738329,16.15963475,7.953591197,0.70881506,19.30018974,23.31104228,16.50615219,,,,
4/1/22,4.035374735,8.358290745,7.783441702,3.434992395,4.546891254,5.026605043,10.3479119,6.229249972,9.826991424,10.83152403,11.08890848,10.97488376,8.262731933,13.08336518,23.25653715,12.19264774,,16.04233041,12.55003768,20.51242787,1.831105428,17.71394298,20.50264894,15.57744595,,23.38442538,11.54810764,4.362801764,0.054971643,17.76503815,24.45593395,18.9887035,,12.22073529,14.41124089,15.00308828,6.812650143,18.59272099,19.07647438,15.47908161,9.315394111,13.61980936,5.773649563,5.306503226,8.095274725,12.42213521,29.83593253,11.2247998,0.716825248,15.09801961,15.62710979,14.22805716,19.27051242,20.67021303,21.24254417,17.40392584,,,,
5/1/22,3.190559154,4.819310756,4.433593192,3.876618782,3.151028284,6.307372725,7.22669002,4.598347562,8.836750322,14.8901738,9.976152232,12.61784194,7.702158532,15.67056833,10.67256057,11.14408371,8.110884791,17.44697078,14.2403094,13.97647116,8.633955557,22.27977102,25.35321743,15.77849691,0.08384503,10.75239066,17.61955003,13.65772039,11.0881094,18.74234907,14.43585764,14.51023547,10.10906932,15.90239441,11.98827762,10.09379486,12.89641484,19.72168335,17.57982246,14.26217689,4.392625656,20.98031622,9.47228158,5.448042894,5.832292881,24.38794475,11.47071823,10.58998489,9.15769167,14.51798199,13.22980042,12.51201999,15.63324707,15.60216215,16.32277277,13.87291381,,,,
6/1/22,3.48880003,3.440529233,4.244671087,6.03465574,7.825795086,4.842241077,10.27303404,5.63085757,10.27572037,15.71205093,12.79105871,9.954581174,8.612877288,22.07474927,1.141535783,11.44359746,14.90581288,12.54167578,17.69778406,12.24860476,8.782043564,23.6157189,28.81730761,16.05376476,8.877877985,16.12555938,14.77986936,15.76195137,12.03264084,16.4432294,19.88845635,15.59269223,8.775433712,17.66996857,11.03178239,9.723815872,11.55937799,16.41380695,17.99045909,13.18825617,4.476967249,18.55241128,13.99700423,11.17604631,5.900595342,3.654256677,,9.267799047,10.86754622,13.58340251,12.23718784,14.66997371,9.555291306,11.23715229,16.10268795,12.61473737,,,,
7/1/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
