,<=6,,,,,,,<=6 Total,>12 and <=24,,,,,,,>12 and <=24 Total,>24 and <=36,,,,,,,>24 and <=36 Total,>36 and <=48,,,,,,,>36 and <=48 Total,>48 and <=60,,,,,,,>48 and <=60 Total,>6 and <=12,,,,,,,>6 and <=12 Total,>60,,,,,,,>60 Total,N.A.,,,N.A. Total
Row Labels,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,>-1 and <=-0.5,>0 and <=0.5,>0.5,
8/1/17,,-4.165599712,-5.293863499,,,-2.554387962,-1.650328904,-2.848500831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/18,-0.286544933,4.40617382,5.684516482,3.283801124,3.110213021,4.603888746,7.13932767,4.761813664,3.969408335,7.581960074,6.086260083,12.04333218,5.172807275,12.92528454,14.66452329,9.235241506,10.27362376,11.65158339,6.844734612,10.44298316,5.842647411,13.5133377,9.962730417,9.881134838,0.612909218,13.31578172,7.398947967,10.99908269,9.640177563,12.21706358,10.98838578,10.5247337,7.977400732,9.657384443,8.541179809,10.17025011,6.905483205,12.40386395,12.74483871,9.980391145,0.2238873,6.781051421,4.212719828,5.025772461,2.066094164,6.623465278,8.655566146,5.696566797,8.980226682,10.0173504,10.53689984,8.393184667,15.50691657,11.74808949,14.62763269,11.48362888,,,,
6/1/18,0.559772938,2.60827107,4.774339703,7.917777077,2.332644579,3.344722009,5.75664702,4.300858168,8.051684829,9.595897129,5.644197124,7.978408994,5.370515426,12.58089064,9.522406769,8.365519208,4.24028618,9.256640201,12.11360783,9.410496954,7.74339636,14.59554685,17.79968048,11.20953462,0.308503651,12.78822342,10.36286912,8.73518116,6.719532153,11.98977219,16.11507014,10.56230174,6.510982591,13.79859549,12.22854957,7.768198681,8.080827532,10.93490892,11.83273896,10.4668794,0.16700396,7.103856589,3.060037395,4.269013017,4.158103952,11.58033872,15.42356271,7.322834593,5.67792622,10.91360708,8.981089385,7.579116033,11.07988821,13.59346029,16.05973199,10.7943161,,,,
7/1/18,-1.614167999,5.623979887,2.064621593,4.918375485,5.59589744,3.443589282,5.999128502,4.322908487,9.703838632,9.814937633,7.257501282,4.927154598,4.992543699,9.619156413,12.64034951,8.285623069,3.411432527,10.58227668,7.35732997,7.96880804,6.904504454,11.75902203,14.31062314,9.324325659,1.178859645,11.88212203,9.881111948,10.73792776,6.584182212,14.43948495,12.01972865,10.42727827,3.572621651,11.3665262,9.256040906,7.142361173,6.78315766,10.59993989,13.75911102,9.340305079,0.153140015,6.103576922,3.728091115,4.577374589,3.858850198,6.03654269,11.82950602,5.749039239,6.451177663,10.27221714,10.87586736,9.749746702,6.872608735,13.55797971,13.6433504,10.42814193,,,,
8/1/18,0.008656285,2.865226991,2.919723283,4.146345779,4.845916295,2.931233718,7.954574922,4.175362751,3.220651401,9.250042786,8.328685568,8.535022955,5.879211071,11.54573119,9.082603457,8.298169272,2.389676611,10.50088939,9.135882035,9.450799042,10.12530594,13.17430071,14.67114625,10.45677282,1.838158019,11.70903887,9.306656103,8.749067435,10.81433646,15.38116106,9.887923421,10.42660915,1.850034827,12.50941652,8.473948183,9.792499673,7.310019857,10.37768194,10.44902985,9.205329345,8.251420815,6.063172381,10.29720291,4.948695176,3.126900993,7.164535342,9.303763843,7.107504055,8.212380188,12.13244022,8.486608086,11.24813941,6.483145224,14.05360567,15.61759049,11.0753299,,,,
9/1/18,,2.01628122,5.157117987,3.770420883,0.657515535,3.471556381,5.18252726,3.661374279,3.883129031,7.372494683,6.830392747,6.855815722,4.996171784,8.067270468,10.11804533,7.072406153,0.996435238,9.437897492,6.734336881,5.121317409,5.694443016,10.24658381,9.281913601,7.210279865,1.26335637,8.778891738,6.443006038,8.148622946,5.059241016,10.23957192,9.574359623,7.667828522,0.666863983,8.812994153,7.916754238,10.61450598,5.191543634,9.957022209,10.42887259,8.327322519,0.134758606,8.551469447,2.891667604,4.348515205,2.024792559,7.146188649,9.79854501,5.633001365,11.40048845,8.813641454,6.819462275,6.819681374,6.228561419,9.856169672,11.26293216,8.649098403,,,,
10/1/18,,2.686804345,3.429904071,2.503829627,-0.313133165,4.78935701,5.941485751,3.789308464,2.227006391,8.233801092,7.736453009,4.064665336,7.02861709,9.204783064,8.270184069,6.966947477,6.185831701,7.207395212,9.400631863,5.184957299,4.769363109,11.81881495,9.569733735,7.845556894,1.858525482,11.03004859,7.187546346,8.614036081,5.310373436,8.450881165,11.7349718,8.325644568,1.4574672,7.201926471,9.511583227,8.392903452,9.244933139,8.974233334,12.19204764,8.92211846,0.105081388,5.509654795,3.086608988,4.426089703,3.13682377,13.90885939,10.50064534,6.503169682,8.657505446,9.072463384,11.60371126,7.156210139,8.376910018,10.44993238,13.6145659,9.923082937,,,,
11/1/18,2.519935644,2.121056602,2.42890799,4.135802073,0.839376443,3.023380218,5.455066165,3.151820416,7.07451711,5.950760716,5.643200074,4.006307911,4.239748957,8.085652169,12.54873178,6.542648065,6.355584058,11.11093077,8.193255332,9.043243007,4.803881736,11.38092881,8.79041419,8.529810736,4.555110812,9.320226313,6.547987089,5.750763981,6.021014792,8.406982122,9.246669215,7.133451874,4.198029034,7.766387994,7.344905076,8.044809663,4.907193526,9.424048856,10.45181891,7.730081988,1.208168901,3.461906849,3.242473588,5.273881757,3.511701747,7.807526248,9.683106406,5.061728537,5.141752899,10.85227259,9.85955212,9.654653074,7.459115381,9.833581765,14.08364585,9.684351604,,,,
12/1/18,-1.531475684,2.159579121,3.356008396,3.059739035,0.421259254,3.03057176,5.091623473,3.109341094,3.986779245,7.018290961,6.833792369,8.198687159,7.273185391,9.869153236,11.16815945,7.800511467,5.298599255,8.130066046,10.61226199,5.361833826,4.199465905,8.383734285,2.17068784,6.574688863,3.895837863,9.769986627,7.460064798,8.931281402,8.108491501,10.6803996,13.9182108,8.901982672,2.576160368,8.25492814,6.625008046,9.092437445,7.358419227,9.188904581,9.804745437,7.977941283,3.562508586,3.148841395,5.196212345,2.78693564,2.174453025,6.361226786,9.274275455,4.756434379,6.552199073,12.97279208,8.228322041,6.92752046,5.992109223,9.208583601,12.08275521,8.924389266,,,,
1/1/19,,2.628460744,6.200692837,4.409798566,3.559919742,3.561936738,5.93414194,4.443953532,6.877276936,7.419813394,3.995160216,5.362711192,4.187006388,7.797114346,8.683780411,6.273933032,2.494081437,6.283906285,4.645081555,4.655866911,4.727765721,9.968908582,5.411596361,5.550398981,6.677304833,8.08824904,7.906224806,5.844454781,5.521894842,7.383546733,5.486331725,6.756876783,6.150052146,6.687225379,7.018914943,7.110806499,4.50769687,7.632039557,8.011129822,6.905099711,-0.315969297,4.749968946,2.79327682,2.749186742,2.472354816,5.543031744,10.81125226,4.793972217,6.092751259,8.765215427,5.947382825,4.412453735,5.06122115,9.293116103,10.44743007,7.203625734,,,,
2/1/19,,4.492066184,7.010733175,0.866344626,0.396292243,3.482771071,5.27632394,4.309831203,0.271859496,7.190128325,4.332808315,3.779251223,4.251781212,7.477108435,8.639046347,5.625787559,5.959511598,7.768064246,5.998583019,4.377006936,4.336123948,7.327171733,6.271704777,6.012256422,3.636673084,9.086663733,6.577380828,4.40290149,4.024995439,8.452165095,7.694847583,6.582574006,8.006365025,8.232090838,6.476924051,8.538155463,5.519434043,6.680445044,9.053680622,7.5725631,-0.00004935,4.725057906,6.86899216,5.253199359,0.717240915,5.372021216,8.891832771,5.72489562,8.367907832,7.595072512,6.163673989,7.963687424,9.82061488,8.597321735,9.985834691,8.336732149,,,,
